taxon	trnK	rpoC1	trnL	rpoB	matR	ndhF	trnS(UGA)-trnfM(CAU)-intergenic-spacer	rps16	18S-ribosomal-RNA	atpB	rbcL	unknown	trnH-psbA-intergenic-spacer,-IGS	rpl20-rps12-intergenic-spacer	rbcL-atpB-intergenic-spacer	trnS-trnG-intergenic-spacer	petN-psbM-intergenic-spacer,-IGS	aat	psbM-trnD-intergenic-spacer,-IGS	trnC-petN-intergenic-spacer,-IGS	unknown.1	26S-ribosomal-RNA	rbcL.1	matK	
Planchonella lauracea												AY552146									HE860201				
Planchonella laetevirens												DQ154071									HE860199				
Planchonella smithii												HE860111									HE860225				
Planchonella thiensis												EF025106									HE860229				
Planchonella amieuana												EF025090									HE860168				
Planchonella grayana												HE860094									HE860192				
Planchonella ledermannii												HE860099									HE860202				
Planchonella ericiflora												HE860090									HE860186				
Planchonella solida												EF025104									HE860226				
Planchonella clemensii												HE860086									HE860177				
Planchonella aneityensis												HE860083									HE860169				
Planchonella torricellensis												HE860114									HE860231				
Planchonella dothioensis												AY552138									HE860183				
Planchonella skottsbergii												DQ154085									HE860224				
Planchonella moluccana												HE860072									HE860139				
Planchonella kuebiniensis												DQ154070									HE860198				
Planchonella koumaciensis												EF025096									HE860197				
Planchonella pronyensis												DQ154080									HE860217				
Planchonella cauliflora												HE860085									HE860175				
Planchonella asterocarpon												DQ154078									HE860172				
Planchonella novozelandica			AF396221									AF396230													
Planchonella saligna												DQ154083									HE860220				
Planchonella membranacea												DQ154074									HE860207				
Planchonella vitiensis												DQ154088									HE860234				
Planchonella lamprophylla												HE860098									HE860200				
Planchonella minutiflora												HE860104									HE860209				
Planchonella firma												HE860091									HE860188				
Planchonella duclitan												HE860089									HE860184				
Planchonella mandjeliana												EF025100									HE860206				
Planchonella cyclopensis												HE860088									HE860182				
Mimusops laurifolia											JQ304271												JQ304270		
Pichonia novocaledonica						AY230710						AY552103													
Pichonia grandiflora												HE860081									HE860165				
Pichonia lecomtei												DQ154061									HE860166				
Pichonia occidentalis												HE860082									HE860167				
Pichonia dubia												HE860080									HE860164				
Chrysophyllum bicolor							JF913095	JF913188				JF912987													
Chrysophyllum mexicanum							JF913101	JF913194				JF912991													
Chrysophyllum pauciflorum							JF913096	JF913189				JF912986													
Pouteria reticulata											JQ625962		GQ982327											JQ589189	
Pouteria stipitata											GQ981842		GQ982328											GQ982069	
Eberhardtia tonkinensis			AF534666		AY163750							AF456258													
Micropholis porphyrocarpa			FJ039197								JQ626009	FJ037882													
Micropholis garciniifolia													HM446965										HM446833	HM446713	
Pycnandra litseiflora												DQ154060				EU661463					EU661393				
Pycnandra benthamii												EU661436				EU661471					EU661404				
Pycnandra controversa												AY552126				EU661474					EU661408				
Pycnandra vieillardii												EU661441				EU661483					EU661417				
Pycnandra acuminata												AY552124				EU661496					EU661430				
Pycnandra carinocostata												AY552132				EU661472					EU661405				
Pycnandra deplanchei												AY552120				EU661451					EU661380				
Pycnandra elegans												DQ154091				EU661475					EU661409				
Pycnandra balansae												AY552123				EU661457					EU661387				
Pycnandra sarlinii												EU661435				EU661465					EU661395				
Pycnandra gordoniifolia												AY552133				EU661462					EU661392				
Pycnandra sessilifolia												AY552118				EU661467					EU661397				
Pycnandra neocaledonica												AY552129				EU661482					EU661416				
Pycnandra lissophylla												DQ154095				EU661498					EU661432				
Pycnandra gatopensis												EU661439				EU661479					EU661413				
Pycnandra kaalaensis												EU661440				EU661481					EU661415				
Pycnandra chartacea												EU661437				EU661473					EU661406				
Pycnandra fastuosa												AY552121				EU661478					EU661412				
Leptostylis grandifolia												DQ154053				EU661454					EU661384				
Leptostylis goroensis												DQ154052				EU661453					EU661383				
Sebertia gatopensis												DQ154092				EU661497					EU661431				
Corbassona intermedia												AY552119				EU661452					EU661381				
Vitellaria paradoxa						AM179804							AM179776						AM179644						
Letestua durissima						AM179779							AM179724						AM179592						
Sideroxylon stenospermum						AM407956						AM408101	AM407752												
Sideroxylon confertum						AM407941						AM408068	AM407738												
Sideroxylon borbonicum						AM407937						AM408064								AM407796					
Niemeyera chartacea												DQ154057				EU661458					HE860157				
Ochrothallus multipetalus												EU661434				EU661464					EU661394				
Planchonella myrsinoides						AY230722						AY552142									HE860214				
Planchonella xylocarpa											JF738490	DQ154049									HE860236				
Planchonella luteocostata												EF025099				EU661470					EU661401				
Planchonella tahitensis						DQ377524						EF025105									HE860228				
Planchonella sandwicensis						AY230723						HE860109									HE860221				
Planchonella thyrsoidea											JF738448	HE860112									HE860230				
Planchonella australis						AY230713						AY552148									HE860173				
Planchonella costata									GU476466			DQ499144									HE860178				
Chrysophyllum eximium			FJ039179								JQ625950	FJ037866	FJ039054												
Pouteria singularis		FJ038807	FJ039317								JQ626061		GQ428715												
Pouteria ambelaniifolia		FJ038789	FJ039234								JQ626230	FJ037886													
Leptostylis petiolata						AY230693						AY552134				EU661455					EU661385				
Sideroxylon beguei						AM407936						AM408062	AM407734						AM407758						
Sideroxylon capuronii						AM407939						AM408066	AM407736							AM407798					
Sideroxylon tambolokoko						AM407958						AM408103	AM407754							AM407815					
Sideroxylon puberulum						AM407953						AM408094						AM407995		AM407811					
Monotheca buxifolia					AF421018	AF421066				AF420977	AF421097														
Niemeyera whitei						AY230705						AY552137				EU661459					EU661388				
Manilkara mayarensis						AM179787							AM179735						AM179603	AM179669					
Planchonella pohlmaniana										AJ235398	AJ235788	DQ154079									HE860216				
Planchonella euphlebia											JN564324	DQ154069									HE860187			JN564057	
Autranella congolensis						AY230666							AM179710						AM179581	AM179648					
Mimusops comorensis						AY230700							AM179740						AM179608	AM179674					
Chrysophyllum prieurii		FJ038775	FJ039349								JQ626139	FJ037867											GQ428633		
Pouteria obovoidea		GQ249012		GQ248847							GQ248682		GQ248377											GQ248186	
Micropholis obscura		FJ038785	FJ039193								JQ626160	FJ037881	GQ428708												
Labramia costata						AY230689							AM179721				AM179528		AM179590	AM179657					
Inhambanella henriquesii						AY230688							AM179720				AM179527		AM179589	AM179656					
Faucherea parvifolia						AY230687							AM179719				AM179526		AM179588	AM179655					
Diploknema butyracea						AY230681							AM179716				AM179523		AM179585	AM179652					
Diploknema oligomera						AY603775							AM179717				AM179524		AM179586	AM179653					
Sideroxylon angustum						AM407935						AM408061	AM407733						AM407757	AM407795					
Sideroxylon mascatense												AM408085	AM179762				AM179565		AM179630	AM179696					
Madhuca longifolia						AM179781							AM179726				AM179531		AM179594	AM179660					
Madhuca macrophylla	DQ924091		DQ924308			DQ924199				DQ923982	EU980806														
Madhuca hainanensis						AM179780							AM179725				AM179530		AM179593	AM179659					
Tieghemella heckelii						AY230742							AM179771				AM179574		AM179639	AM179705					
Manilkara obovata						AM179789							AM179737				AM179541		AM179605	AM179671					
Manilkara concolor						AM179784							AM179730				AM179535		AM179598	AM179664					
Manilkara kauki						AY230695							AM179734				AM179539		AM179602	AM179668					
Manilkara butugi						AM179782							AM179728				AM179533		AM179596	AM179662					
Manilkara discolor						AM179785							AM179731				AM179536		AM179599	AM179665					
Northea seychellana						AY230706							AM179747				AM179550		AM179615	AM179681					
Payena acuminata						AY603779							AM179749				AM179552		AM179617	AM179683					
Payena lucida						AY230709							AM179750				AM179553		AM179618	AM179684					
Neolemonniera clitandrifolia						AY230703							AM179745				AM179548		AM179613	AM179679					
Planchonella ripicola		GQ249013		GQ248848							GQ248683		GQ248378											GQ248187	
Vitellariopsis dispar						AM179788							AM179736				AM179576		AM179641	AM179670					
Vitellariopsis kirkii						AY603786							AM179774				AM179577		AM179642	AM179708					
Vitellariopsis marginata						AM179803							AM179775				AM179578		AM179643	AM179709					
Vitellariopsis cuneata						AY230743							AM179772				AM179575		AM179640	AM179706					
Mimusops caffra						AM179790							AM179739				AM179543		AM179607	AM179673					
Mimusops elengi						AY230701							AM179741				AM179544		AM179609	AM179675					
Pouteria filipes		FJ038808		FJ038382							JQ626082		FJ039076											JQ626499	
Capurodendron androyense						AM179777						AM408107	AM179714				AM179521		AM179583	AM179650					
Pradosia spinosa			DQ344332									DQ246695		DQ344206	DQ377533	DQ344441									
Sideroxylon repens						AM179800						AM408096	AM179766				AM179569		AM179634	AM179700					
Sideroxylon floribundum						AM407943						AM408071	AM407740				AM407780		AM407762	AM407801					
Sideroxylon palmeri						AM407949						AM408090	AM407746				AM407786		AM407768	AM407807					
Sideroxylon obovatum						AM407947						AM408086	AM407744				AM407784		AM407766	AM407805					
Sideroxylon contrerasii						AM407942						AM408069	AM407739				AM407779		AM407761	AM407800					
Sideroxylon stevensonii						AM407957						AM408102	AM407753				AM407792		AM407774	AM407814					
Sideroxylon grandiflorum						AM407944						AM408075	AM407741				AM407781		AM407763	AM407802					
Sideroxylon picardae						AM407951						AM408092	AM407748				AM407788		AM407770	AM407809					
Sideroxylon majus						AM179796						AM408082	AM179759				AM179562		AM179627	AM179693					
Sideroxylon lanuginosum						AY230733						AF174617	AM179757				AM179560		AM179625	AM179691					
Sideroxylon oxyacanthum						AM407948						AM408089	AM407745				AM407785		AM407767	AM407806					
Sideroxylon marmulano						AY603783						AM408084	AM179761				AM179564		AM179629	AM179695					
Sideroxylon portoricense						AM407952						AM408093	AM407749				AM407789		AM407771	AM407810					
Sideroxylon sessiliflorum						AM407955						AM408100	AM407751				AM407791		AM407773	AM407813					
Sideroxylon celastrinum						AM407940						AM408067	AM407737				AM407778		AM407760	AM407799					
Lecomtedoxa klaineana						AY230691						AM408109	AM179723				AM179529		AM179591	AM179658					
Mimusops obovata						AM179791							AM179742				AM179545	AM407962	AM179610	AM179676					
Chrysophyllum fenerivense			DQ344286			DQ246702						DQ246669		DQ344160	DQ344349	DQ344395									
Chrysophyllum imperiale			EF558603			EF558589						EF558615		EF558596	EF558592	EF558611									
Chrysophyllum bangweolense			DQ344283			AY230671						AY552152		DQ344157	DQ344346	DQ344392									
Chrysophyllum cuneifolium			DQ344285								JQ625874	DQ246668		DQ344159	DQ344348	DQ344394									
Chrysophyllum pruniforme			DQ344288			DQ246703						DQ246671		DQ344162	DQ344351	DQ344397									
Pouteria gardneriana			DQ344321			AY603780						DQ246689		DQ344195	DQ344384	DQ344430									
Englerophytum natalense			DQ344299			AY230686						AY552150		DQ344173	DQ344362	DQ344408									
Micropholis longipedicellata			FJ039191	FJ817171								FJ037879	FJ039066										FJ038174	JQ626506	
Synsepalum dulcificum			DQ344337			AY230739						DQ246697		DQ344211	HQ158554	DQ344446									
Pradosia ptychandra		FJ038821	FJ039212	FJ038388							JQ626027	FJ037899												FJ514772	
Sideroxylon lycioides						AM179795						AM408081	AM179758				AM179561	AM408011	AM179626	AM179692					
Sideroxylon ibarrae						AM407945						AM408077	AM407742				AM407782	AM408020	AM407764	AM407803					
Sideroxylon saxorum						AY230736						AM408099	AM179768				AM179571	AM407990	AM179636	AM179702					
Sideroxylon persimile						AM407950						AM408091	AM407747				AM407787	AM407982	AM407769	AM407808					
Sideroxylon obtusifolium						AM179798						AM408087	AM179763				AM179566	AM407960	AM179631	AM179697					
Sideroxylon tenax						AM179801						AM408104	AM179769				AM179572	AM408012	AM179637	AM179703					
Sideroxylon americanum						AM179793						AM408060	AM179751				AM179554	AM407963	AM179619	AM179685					
Sideroxylon cubense						AM179794						AM408070	AM179753				AM179556	AM408014	AM179621	AM179687					
Sideroxylon reclinatum						AY230734						AM408095	AM179765				AM179568	AM407984	AM179633	AM179699					
Sideroxylon occidentale						AM179799						AM408088	AM179764				AM179567	AM407977	AM179632	AM179698					
Sideroxylon salicifolium						AY230735						AM408098	AM179767				AM179570	AM408015	AM179635	AM179701					
Sideroxylon horridum						AY230731						AM408076	AM179755				AM179558	AM407964	AM179623	AM179689					
Sideroxylon wightianum						AM179802						AM408106	AM179770				AM179573	AM408013	AM179638	AM179704					
Sideroxylon betsimisarakum						AY230729						AM408063	AM179752				AM179555	AM407991	AM179620	AM179686					
Sideroxylon leucophyllum						AM407946						AM408080	AM407743				AM407783	AM408008	AM407765	AM407804					
Sideroxylon rotundifolium						AM407954						AM408097	AM407750				AM407790	AM407971	AM407772	AM407812					
Sideroxylon tepicense						AM407959						AM408105	AM407755				AM407793	AM408028	AM407775	AM407816					
Sideroxylon marginatum						AM179797						AM408083	AM179760				AM179563	AM408010	AM179628	AM179694					
Nesoluma nadeaudi						AM407934						AM408058	AM407732				AM407776	AM407996	AM407756	AM407794					
Nesoluma polynesiacum						AY230704						AM408059	AM179746				AM179549	AM408004	AM179614	AM179680					
Manilkara hexandra						AY230694					JQ673543		AM179732				AM179537		AM179600	AM179666				JQ673569	
Manilkara chicle						AM179783					JQ594847		AM179729				AM179534		AM179597	AM179663				JQ589185	
Mimusops zeyheri						AY230702							AM179743				AM179546		AM179611	AM179677			JF265519	JF270865	
Chrysophyllum boivinianum			DQ344284			AY230670						DQ246667		DQ344158	DQ344347	DQ344393									
Chrysophyllum venezuelanense			DQ344290			AY230678						DQ246673		DQ344164	DQ344353	DQ344399									
Pouteria vernicosa			DQ344330			DQ246716						DQ246694		DQ344204	DQ377531	DQ344439									
Pouteria domingensis			DQ344319			AY230718						AY552106		DQ344193	DQ344382	DQ344428									
Pouteria altissima			DQ344317			DQ246710						DQ246687		DQ344191	DQ344380	DQ344426									
Pouteria torta		FJ038819	FJ039209	FJ038387							JQ625931	FJ037896	FJ039082											JQ626418	
Pouteria eugeniifolia		FJ038796	FJ039271	FJ817206							JQ625932	FJ037889	FJ039079											JQ626389	
Pouteria decorticans		FJ038794	FJ039199	FJ038377							JQ625955	FJ037887	FJ039070											JQ626403	
Pouteria alnifolia			DQ344316			AY230712						DQ246686		DQ344190	DQ344379	DQ344425									
Pouteria hispida			DQ344323			DQ246712					JQ626328	DQ246691		DQ344197	DQ344386	DQ344432									
Pouteria macrophylla			DQ344326								JQ625805	DQ246692		DQ344200	DQ377527	DQ344435									
Pouteria macrocarpa		FJ038805	FJ039205	FJ038381							FJ038184	FJ037894	FJ039075											FJ037942	
Pouteria multiflora			DQ344327			DQ246713						DQ246693		DQ344201	DQ377528	DQ344436									
Pouteria gongrijpii		FJ038802	FJ039202	FJ038379							JQ626231	FJ037890	FJ039074											FJ037940	
Micropholis cayennensis			FJ039187	FJ817170							JQ625973	FJ037875	FJ039062										FJ038171	FJ514753	
Chromolucuma rubriflora			EF558602			EF558588						EF558614		EF558595	EF558591	EF558610									
Sersalisia sericea			DQ344329			DQ246715								DQ344203	DQ377530	DQ344438					HE860246				
Aubregrinia taiensis			DQ344278			AY230665						DQ377520		DQ344152	DQ344341	DQ344387									
Synsepalum passargei			DQ344338			AY230741						DQ246698		DQ344212	DQ377539	DQ344447									
Pradosia brevipes			DQ344331			AY230727						AY552158		DQ344205	DQ377532	DQ344440									
Pradosia surinamensis			DQ344333			AY230728						AY552157		DQ344207	DQ377534	DQ344442									
Xantolis siamensis			DQ344340						GU476468			AY552154		DQ344214	DQ377541	DQ344449			AM179645						
Delpydora gracilis			DQ344291			AY230679						DQ246674		DQ344165	DQ344354	DQ344400									
Delpydora macrophylla			DQ344292			AY230680						DQ246675		DQ344166	DQ344355	DQ344401									
Sarcaulus brasiliensis			DQ344336			DQ246718						DQ246696		DQ344210	DQ377537	DQ344445									
Breviea sericea			DQ344282			AY230667						DQ246666		DQ344156	DQ344345	DQ344391									
Sideroxylon foetidissimum						AY230730					Z83136	AM408072	AM179754				AM179557	AM408022	AM179622	AM179688					
Omphalocarpum pachysteloides			DQ344310			AY230707						AY552151		DQ344184	DQ344373	DQ344419									
Omphalocarpum strombocarpum			DQ344311			AY230708						DQ246685		DQ344185	DQ344374	DQ344420									
Niemeyera antiloga			DQ344307			DQ246704						DQ154055		DQ344181	DQ344370	DQ344416					HE860156				
Manilkara bidentata			FJ039185	FJ817211							JQ626263	FJ037871	GQ428717										FJ038167	FJ514757	
Elaeoluma glabrescens			EF558604			EF558590						EF558616		EF558597	EF558593	EF558612									
Elaeoluma schomburgkiana			DQ344297			AY230684						DQ246679		DQ344171	DQ344360	DQ344406									
Planchonella howeana			DQ344324			AY230726						EF025094		DQ344198	DQ377525	DQ344433					HE860194				
Planchonella linggensis			DQ344325									HE860101		DQ344199	DQ377526	DQ344434					HE860203				
Beccariella sebertii			DQ344280			DQ246700						DQ154047		DQ344154	DQ344343	DQ344389					HE860145				
Beccariella vieillardii			DQ344281			DQ246701						DQ154087		DQ344155	DQ344344	DQ344390					HE860148				
Beccariella baueri			DQ344279			AY230715						AY552113		DQ344153	DQ344342	DQ344388					HE860128				
Chrysophyllum sanguinolentum		FJ038778	FJ039181	FJ038368							JQ626145	FJ037868	FJ039056										FJ038163	FJ514634	
Chrysophyllum roxburghii			DQ344289			AY230677					JF738480	DQ246672		DQ344163	DQ344352	DQ344398									
Pouteria campechiana			DQ344318			AY230716						DQ246688		DQ344192	DQ344381	DQ344427						AY727948			
Magodendron mennyae			DQ344302			AY603777						AY552114		DQ344176	DQ344365	DQ344411					HE860155				
Pycnandra francii			DQ344309			AY603778						AY552117		DQ344183	DQ344372	DQ344418					EU661391				
Pycnandra comptonii			DQ344334			DQ246717						AY552131		DQ344208	DQ377535	DQ344443					EU661407				
Leptostylis filipes			DQ344301			AY230692						AY552135		DQ344175	DQ344364	DQ344410					EU661382				
Ecclinusa guianensis			DQ344295			AY603776						DQ246677		DQ344169	DQ344358	DQ344404					HE860152				
Sideroxylon capiri		GQ429101				AM407938						AM408065	GQ429136				AM407777		AM407759	AM407797			JQ594081	JQ589193	
Niemeyera prunifera			DQ344308			DQ246705						DQ154058		DQ344182	DQ344371	DQ344417					HE860158				
Planchonella sphaerocarpa			DQ344335			DQ246714						AY552139		DQ344209	DQ377536	DQ344444					EU661403				
Planchonella baillonii			DQ344300			AY230714						AY552141		DQ344174	DQ344363	DQ344409					HE860174				
Planchonella kaalaensis			DQ344314			DQ246709						HE860097		DQ344188	DQ344377	DQ344423					HE860196				
Pichonia daenikeri			DQ344313			DQ246708						AY552108		DQ344187	DQ344376	DQ344422					HE860161				
Pichonia balansana			DQ344312			DQ246707						AY552109		DQ344186	DQ344375	DQ344421					HE860160				
Englerophytum magalismontanum			DQ344298			AY230685					JF265411	DQ246680		DQ344172	DQ344361	DQ344407								JF270761	
Palaquium formosanum					AF421021	AF421068				AF420979	AF421098	AM408110	AM179748				AM179551		AM179616	AM179682					
Sideroxylon inerme						AY230732					AM235132	AM408078	AM179756				AM179559	AM407994	AM179624	AM179690			JQ412421	JF270940	
Madhuca microphylla					AF421014	AF421064				AF420976	AF421096		AM179727				AM179532		AM179595	AM179661		AY727947			
Planchonella eerwah			DQ344320			AY230719					Z80188	AY552147		DQ344194	DQ344383	DQ344429					EU661400				
Chrysophyllum oliviforme			DQ344287			AY230674	JF913099	JF913192			L12607	JF912996		DQ344161	DQ344350	DQ344396									
Sarcosperma laurinum					AF421039	AF421080				AF420989	AF421111	AM408055	AM179711				AM179518		AM179579	AM179646				HQ415331	
Micropholis egensis		FJ038782	DQ344303			AY230697					JQ626049	FJ037876	GQ428709	DQ344177	DQ344366	DQ344412									
Argania spinosa	DQ924090		DQ924307			AY230664				DQ923981	Z80187	AM408056	AM179712				AM179519	AM408009	AM179580	AM179647					
Chrysophyllum cainito			AY172772			AY603774	JF913018	JF913182			GQ981702	JF912985	GQ982186	AY172756	AY172706									GQ981966	
Chrysophyllum argenteum		FJ038774	FJ039178	FJ817195		AY230669	JF913091	JF913184			JQ626243	JF913006	FJ039053										FJ038162	FJ514637	
Neohemsleya usambarensis			DQ344306			AM179792						DQ246684	AM179744	DQ344180	DQ344369	DQ344415	AM179547		AM179612	AM179678					
Ecclinusa ramiflora		FJ038780	DQ344296			AY230683					JQ626076	DQ246678	GQ428718	DQ344170	DQ344359	DQ344405					HE860153				
Pouteria guianensis		FJ038803	FJ039203	FJ038380		DQ246711					GQ428635	FJ037893	GQ428712	DQ344196	DQ344385	DQ344431									
Eberhardtia aurata			EF558605		AF520116	AM179778						EF558617	AM179718	DQ344168	DQ344357	EF558613	AM179525	AM407961	AM179587	AM179654					
Manilkara huberi		FJ038781	FJ039186	FJ038370		AM179786					JQ625936	FJ037874	AM179733				AM179538		AM179601	AM179667			FJ038169	FJ514652	
Planchonella obovata			DQ344328		AF421024	AF421071				AF420981	AF421100	DQ154076		DQ344202	DQ377529	DQ344437					EU661402				
Diploon cuspidatum		FJ038779	FJ039183	FJ038369		AY230682					JQ626045	FJ037870	FJ039058	DQ344167	DQ344356	DQ344402								FJ514729	
Micropholis guyanensis		FJ038783	DQ344304	FJ817198		AY230698					JQ626126	FJ037878	HM446966	DQ344178	DQ344367	DQ344413							FJ038172	FJ514759	
Micropholis venulosa		FJ038787	FJ039196	FJ038373		AY230699					JQ626105	FJ037885	FJ039068	DQ344179	DQ344368	DQ344414							GQ428628	FJ514736	
Manilkara zapota	AJ429295		DQ924309		AF421016	AF213732			L49288	DQ923983	L01932		AM179738				AM179542		AM179606	AM179672		AY727946	GU135174	GU135011	
