Vaccinium gaultheriifolium																		AY274577																	AF419750																																					AF382806										
Vaccinium fragile																		AF382725																	AF419749																																					AF382805										
Vaccinium padifolium																		AF382734																	AF419760																																					AF382812										
Vaccinium oldhamii																		AF419783																	AF419758																																					AB623173										
Vaccinium summifaucis																		AF382740																	AF419768																																					AF382817										
Vaccinium erythrocarpum																		AF419779																	AF419746																																					AF419708										
Camellia longzhouensis																										EU872271																																									AF315494						AF315495									
Camellia vietnamensis		GU722509																EF544747																																																									AB364676							
Camellia meiocarpa		GU722482																EU579737																																																									AB364657							
Camellia octopetala		GU722487																EU579742																																																									AB443613							
Camellia amplexicaulis		GU722448																FJ432133																																																									AB364664							
Camellia semiserrata		GU722501																EU579770																																																									AB364672							
Camellia pitardii		GU722494																EU579758																														AB207877																																		
Camellia fraterna																		EU579705																															HQ427224																									HQ427067								
Camellia ptilophylla																		FJ432116																						AB207818			DQ513312																																							
Monotropsis odorata									AF351923									AF352001																													AF351946																																			
Richea pandanifolia																																																	GQ392936								AF155844															AF539986										
Androstoma verticillata							JQ667355																																																		AY372575															AY372645										
Lyonia ovalifolia							AB729087																																										AF124580																							U61305										
Monotoca elliptica							JQ667448																																																		AY005085															AY005099										
Monotoca rotundifolia							JQ667452																																																		AY372585															AY372661										
Monotoca empetrifolia							JQ305877																																																		GU121405															GU732295										
Menziesia lasiophylla																		X97429																	EU855938																																					EU855882										
Trochocarpa laurina							JQ305883																																																		AY005092															AY005106										
Agarista salicifolia																																												JF804885					AF124588																							U61313										
Disterigma pallidum																		AF382674																	FJ001732																																					AF382761										
Acrotriche divaricata																																																	U80432								AF155855															AY005094										
Acrotriche parviflora							JQ305850																																																																	JQ305826		JQ310788								
Acrotriche affinis							JQ667232																																																		AY372541															JQ667084										
Dimorphanthera megacalyx																		AF382670																	AF419725																																					AF382757										
Dimorphanthera kempteriana																		AF382668																	AF419724																																					AF382755										
Lissanthe strigosa							JQ667434																																																		AF208794															AY372658										
Lissanthe sapida							JQ667431																																																		AF208793															AY372657										
Lissanthe rubicunda							JQ305873																																																																	JQ305842		JQ310808								
Astroloma tectum																		JF437576																																							AY372551															AY372606										
Astroloma baxteri							JQ667245																																																		AY372543															AY372598										
Astroloma epacridis							JQ667251																																																		AY372546															JQ667093										
Astroloma conostephioides							JQ667250																																																		AY372544															JQ667092										
Astroloma pallidum							JQ667259																																																		AY372548															AY372604										
Coleanthera myrtoides																		JF437574																																							AY372556															AY372612										
Clematoclethra lasioclada																		AF323805																															Z80172																							AF322618										
Agapetes hosseana																		AF382651																	AF419720																																					U89752										
Huodendron tibeticum																		AF396443																										AF396175																		AF396176																				
Erica paniculata																		AY520801																																							AY520773															AY517919										
Erica embothriifolia																		AY520793																																							AY520765															AY517911										
Erica mammosa						JF728367												HQ859141																																																												JF728335				
Erica jonasiana																		AY520797																																							AY520769															AY517915										
Erica rigidula																		HQ859246																																							AY520783															AY517927										
Erica xanthina																		AY520808																																							AY520779															AY517923										
Erica terminalis																		AY520805																																							AY520777															AY517921										
Erica muscosa																		HQ859153																																							AY520782															AY517926										
Erica oakesiorum																		AY520800																																							AY520772															AY517918										
Erica multiflora																		AY520799																																							AY520771															AY517917										
Erica imbricata																		HQ859092																																							AY520768															AY517914										
Erica manipuliflora																		AY520798																																							AY520770															AY517916										
Erica cetrata																		HQ858969																																							AY520759															AY517906										
Erica cruenta						JF728344												HQ858991																																																												JF728312				
Erica strigilifolia						JF728337												HQ859287																																																												JF728305				
Erica patersonii						JF728346												HQ859183																																																												JF728314				
Erica vestita						JF728339												HQ859327																																																												JF728307				
Erica axillaris																		HQ858930																																							AY520781															AY517925										
Erica hispidula																		HQ859085																																							AY520767															AY517913										
Erica curviflora						JF728348												HQ858996																																																												JF728316				
Erica tristis																		HQ859310																																							AY520780															AY517924										
Erica erigena																		AY520794																																							AY520766															AY517912										
Erica sessiliflora						JF728359												HQ859265																																																												JF728327				
Erica urceolata																		HQ859315																																							AY520784															AY517928										
Epacris impressa																																													AF419803												AF155849															AF015636										
Epacris lanuginosa									DQ065767																																								U80426								AF155850																									
Cassiope palpebrata																		HM182077								HM182093																									HM182057																															
Cassiope ericoides																		HM182072								HM182088																									HM182052																															
Cassiope wardii																		HM182081								HM182097																									HM182061																															
Cassiope nana																		HM182076								HM182092																									HM182056																															
Cassiope abbreviata																		HM182070								HM182086																									HM182050																															
Cassiope myosuroides																		HM182075								HM182091																									HM182055																															
Arctostaphylos glauca									AF106805								AF297778	GQ280928																																																																
Arctostaphylos nummularia									AF091974								AF297755	AF091949																																																																
Arctostaphylos mendocinoensis									AF106803								AF297750	GQ280951																																																																
Arctostaphylos patula									AF106807								AF297754	GQ280967																																																																
Arctostaphylos andersonii									AF091976								AF297780	GQ280910																																																																
Arctostaphylos nissenana									AF106804								AF297782	GQ280958																																																																
Arctostaphylos columbiana																	AF297765	GQ280918		JQ248015																																																														
Pyrola faurieana																		FJ378575								FJ378623																		FJ378595																																						
Paphia stenantha																		AF382654																	AF419721																																					AF382744										
Rupicola sprengelioides																																																	U80427								AF155851															AF015643										
Parapyrenaria multisepala																		AF456263																										AY216568												AY163742																										
Chimaphila monticola																										FJ357253																		FJ357284													FJ357270																									
Sphyrospermum boekei																		AF382701																	FJ001746																																					AF382785										
Brachyloma scortechinii							JQ667284																																																		AF208749															AY372611										
Brachyloma ericoides							JQ667281																																																		JF437582															JQ667116										
Brachyloma delbi							JQ667279																																																		JX993990															JX993993										
Rhododendron decandrum																																												AB038809													AB038909					AB038859																				
Rhododendron saxifragoides																		AY877299													AY196059																																											AY196022								
Rhododendron argyrophyllum																		X97416																										EU087365																												EU087302										
Rhododendron calostrotum																																																	JF943852																							JF955921		JN046766								
Rhododendron hongkongense																		X97423																										AF394260																												U61338										
Rhododendron hypoblematosum																		HQ707056																															HQ706912																									HQ706981								
Rhododendron dimitrum																		EF035050								DQ989000																		DQ999958																																						
Rhododendron quinquefolium																																												AB038838													AB038938					AB038888																				
Rhododendron osuzuyamense																																												AB038810													AB038910					AB038860																				
Rhododendron tephropeplum																																																	JX989289																							JX989284		JX989278								
Rhododendron jingangshanicum																		AY962557																															HQ706914																									HQ706989								
Rhododendron amakusaense																																												AB038812													AB038912					AB038862																				
Rhododendron simiarum																		HQ707071																															HQ706936																									HQ707021								
Rhododendron amagianum																																												AB038805													AB038905					AB038855																				
Rhododendron redowskianum																		AF393418																										AF394257																												AF454861										
Rhododendron atlanticum																		AF072479																										AY496924																												AY494183										
Rhododendron hanceanum																																																	JX989287																							JX989282		JX989276								
Rhododendron pneumonanthum																		AY877282													AY196077																																											AY196040								
Rhododendron hidakanum																																												AB038808													AB038908					AB038858																				
Rhododendron glanduliferum																		HQ707051																															HQ706908																									HQ706976								
Rhododendron strigosum																		HQ707072																															HQ706928																									HQ707027								
Rhododendron yakumontanum																																												AB038820													AB038920					AB038870																				
Rhododendron nudipes																																												AB038818													AB038918					AB038868																				
Rhododendron fuyuanense																		JF978270																															JF943909																									JN046825								
Rhododendron chilanshanense																																												AB038825													AB038925					AB038875																				
Rhododendron rivulare																		HQ707069																															HQ706933																									HQ707016								
Rhododendron rhuyuenense																		HQ707068																															HQ706932																									HQ707014								
Rhododendron cinnabarinum																		JF978226																															JF943865																									JN046779								
Rhododendron longistylum																																																	JX989288																							JX989283		JX989277								
Rhododendron leptanthum																		AY877275													AY842186																																											AY842238								
Rhododendron tsurugisanense																																												AB038821													AB038921					AB038871																				
Rhododendron praetervisum	GU549811																																																																															GU549730	GU382701	
Rhododendron hyugaense																																												AB038813													AB038913					AB038863																				
Rhododendron zhangjiajieense																		HQ707075																															HQ706944																									HQ707041								
Rhododendron kiangsiense																		HQ707059																															HQ706916																									HQ706991								
Rhododendron pachyphyllum																		HQ707064																															HQ706927																									HQ707010								
Archeria comberi																																																	U79741								AF155840															AF015632										
Andersonia sprengelioides																																																	U79742								AF155843															AF015631										
Epigaea asiatica																		HM182013								HM182048									HM182027																																															
Siphonandra elliptica																		AF382700																	AF419732																																					AF382784										
Plutarchia ecuadorensis																		AF382688																	AF419729																																					AF382773										
Stewartia calcicola																		AY070311																																																			AY070279	AY070293												
Stewartia sinii																		HM100460																										HM100598																														HM100531								
Stewartia rubiginosa																		HM100467																										HM100644																														HM100582								
Stewartia cordifolia																		HM100448																										HM100592																														HM100517								
Stewartia tonkinensis																		HM100463																										HM100601																														HM100533								
Stewartia laotica																		HM100450																										HM100594																														HM100520								
Stewartia crassifolia																		HM100449																										HM100593																														HM100518								
Polyspora tonkinensis																		AY214933																										AY216563												AY163728																										
Styrax pedicellatus																		AY143578																										AF396199																		AF396200																				
Cyathodes glauca																																																	U80434								AF155858															AY005095										
Needhamiella pumilio																																																	U80422								AF155853															AF539984										
Saurauia zahlbruckneri																		AF396452																										AF396203																											GQ141122											
Agiortia pleiosperma							JQ667367																																																		AY372578															JQ667155										
Agiortia pedicellata							JQ667363																																																		AY372577															AY372649										
Dracophyllum patens																		AY649412																															GQ392917																							GQ392969										
Dracophyllum arboreum																		AY649409																															GQ392897																							GQ392949										
Dracophyllum kirkii																		AY649410																															GQ392905																							GQ392957										
Dracophyllum acerosum																		AY649407																															GQ392895																							GQ392947										
Dracophyllum scoparium																		EU886837																															GQ392923																							GQ392975										
Croninia kingiana																		JF437568																																							AF208750															AY372614										
Arbutus menziesii									AF086829									AF297835																													AF351963		AF419813																																	
Actinidia henanensis																		AF323840																										AJ549015					AJ549060																							AF322597										
Actinidia setosa										AJ536468																			AB006101															AJ549028					AJ549073																																	
Actinidia zhejiangensis																		AF323817																										AJ548993					AJ549038																							AF322613										
Actinidia persicina																		AF323816																										AJ549023					AJ549068																							AF322611										
Actinidia styracifolia																		AF323823																										AJ548988					AJ549033																							AF322612										
Styphelia exarrhena							JQ667470											JF437575																																							AY372587															AY372666										
Styphelia tubiflora							JQ667475											JF437578																																							AY372591															AY372670										
Styphelia laeta							JQ667471																																																		JQ286182															JQ667204		JQ310812								
Styphelia hainesii							JQ305878																																																		JQ286183															JQ305845		JQ310811								
Pentachondra pumila																																													AF419805				L12621								AY005089															AY005104										
Clethra mexicana							JQ591091											AY190558																										AY190589																												JQ587255										
Acrothamnus maccraei							JQ667221																																																		AF208778															AY372644		JQ310787								
Acrothamnus hookeri							JQ667218																																																		AF208774															AY372641		JQ310786								
Leucopogon nutans							JQ305867																																																		AF208780															JQ305838		JQ310803								
Leucopogon parviflorus							JQ305870											EF635444																																							AF208783																	JQ310805								
Leucopogon leptospermoides							JQ667347																																					JN392746													AF208777															AY372643										
Leucopogon fraseri							JQ667333																																										L12620								AY005084															JQ667141										
Leucopogon amplexicaulis							JQ667293																																																		AF208755															JQ305833		JQ310797								
Leucopogon australis							JQ667298																																																		AF208758															JQ667127		JQ310799								
Leucopogon allittii							JQ667292											JF437571																																							AF208753															AY372627										
Leucopogon obtectus							JQ667357																																																		JQ257004															JQ305839		JQ310804								
Leucopogon alternifolius							JQ305858																																																		AF208754															AY372628		JQ310796								
Leucopogon esquamatus							JQ667319											JF437577																																							AF208769															AY372638										
Leucopogon bossiaea							JQ305862																																																		AF208759															JQ305835		JQ310800								
Leucopogon muticus							JQ667356																																										U80429								AF155864															AF015638										
Leucopogon appressus							JQ667296																																																		AF208756															JQ305834		JQ310798								
Leucopogon microphyllus							JQ667353																																										U79740								AF155862															AY005097										
Leucopogon setiger							JQ667379											JF437572																																							AF208790															AY372655										
Symplocos caerulescens																		AY630647																			DQ086398							AY630754																												AY630679										
Symplocos pyrifolia																		AY336313																			DQ086376							AY336472																										AY336414												
Symplocos hintonii																		AY336288																				DQ086342						AY336448																										AY336397												
Symplocos brenesii																		AY336286																										AY630725																										AY630685		AY630653										
Symplocos crenata																		AY336268																										AY630722																										AY336385		AY336342										
Symplocos persistens																		AY336310																										AY336471																										AY630711		AY336366										
Symplocos guadeloupensis																		AY336270																										AY336434																										AY336387		AY336344										
Symplocos austrosinensis																		AY336336																										AY630744																										AY630705		AY679814										
Symplocos prunifolia																		AY336337																										AY630749					AB729084													AB178631																				
Symplocos migoi																		AY336296																			DQ086379							AY630750																										AY630714												
Symplocos bicolor																		AY630624																										AY630724																										AY630683		AY630652										
Symplocos heishanensis																		AY630642																										AY336490																		AB115342								AY630708												
Symplocos cochinchinensis																		AB114883																															HQ415170													AB115348										HQ415341										
Symplocos congesta																		AY336311																			DQ086391							AY630745																												AY679810										
Melichrus urceolatus							JQ305875																																																		AY372595															JQ305844		JQ310810								
Cosmelia rubra																																													AF419801				GQ392894								AF155842															GQ392946										
Schima khasiana																		HM100427																										HM100607												AY163740																		HM100537								
Schima remotiserrata																		HM100440																															AF380055																							AF380098		HM100539								
Anthopterus wardii																		AF382656			AY331809														AY331921																																					AF382746										
Anthopterus revolutus																		AY331866			AY331808														AY331920																																					AY331893										
Vaccinium cylindraceum																		AF382720																	AF419743														HM850438																							HM850862										
Vaccinium microcarpum																		JN999346																										GQ245156					JN965697																							JN966392										
Vaccinium caespitosum																		AF419775																	AF419735																											DQ073327										AF419703										
Vaccinium ovalifolium																		AF419784																	AF419759									GQ245636																												AF419713										
Vaccinium meridionale																		AF382731																	AF419756														AF124576																							U89759										
Vaccinium reticulatum									GU256434									AY274578																	AF419764																																					AF382814										
Bruckenthalia spiculifolia																		AY520785																															AF419824								AY520757															U61337										
Camellia crassiphylla																																												GQ487427																								GQ487397		GQ487367				GQ487337								
Camellia transarisanensis		GU722505																EU579782																																									EU849054	EU849089																						
Camellia polyodonta																		EF646285																										HQ158583													HQ158546																		AB443618							
Camellia tamdaoensis																																												GQ487450																								GQ487420		GQ487390				GQ487360								
Camellia murauchii																																												GQ487443																								GQ487413		GQ487383				GQ487353								
Camellia hongkongensis		GU722473																EU579717																														AB207873																											AB364665							
Camellia saluenensis		GU722499																HM061337																														AB207879																											AB364671							
Camellia fluviatilis		GU722465																EU579702																										HQ158581													HQ158544																									
Camellia hekouensis																																												GQ487435																								GQ487405		GQ487375				GQ487345								
Camellia longissima																																												GQ487441																								GQ487411		GQ487381				GQ487351								
Camellia elongata																																												GQ487428																								GQ487398		GQ487368				GQ487338								
Camellia wardii																																												GQ487452																								GQ487422		GQ487392				GQ487362								
Camellia gymnogyna																																												GQ487434																								GQ487404		GQ487374				GQ487344								
Berneuxia thibetica																		AY049798																	AY049793														AY049795							AY049792																										
Phyllodoce deflexa																		HM182010								HM182043									HM182030														HM182035																																	
Gordonia brandegeei																		AY070325																																																			AY070288	AY070306		AF380084										
Lyonia ligustrina																		HM182083								HM182099																							AF124578																							U61311										
Diplarche multiflora																		GU176631																	GU176739														AF419821																							AF440418										
Empetrum hermaphroditum																		AF519550																		AY725931																		AY727972																		AF519561										
Trochocarpa gunnii							JQ667481																																										U81799								AF155861																	JQ310815								
Agarista populifolia																		GQ179751																	GQ179746														AF124589																							U61306										
Themistoclesia epiphytica																		AF382707			AY331853														AY331962																																					AF382789										
Themistoclesia costaricensis																		AF382706			AY331852														AY331961																																					AF382788										
Disterigma alaternoides																		AY331874			AY331821														AY331932																																					AY331901										
Disterigma rimbachii																		AY331876			AY331824														FJ001736																																					AY331903										
Disterigma trimerum																		FJ001700			AY331825														FJ001741																																					AF001924										
Disterigma ovatum																		AY331875			AY331822														FJ001731																																					AY331902										
Disterigma pernettyoides																		AF382675			AY331823														FJ001734																																					AF382762										
Daboecia cantabrica																		X97430																															L12611								JX262431															U61349										
Acrotriche rigida							JQ667238																																																		AY636037															JQ305827		JQ310789								
Lissanthe brevistyla							JQ305872																																																		AY372581															JQ305841		JQ310807								
Demosthenesia pearcei																		AF382663			AY331819														AY331930																																					AF382752										
Sphenotoma dracophylloides									DQ073473																																								GQ392942								AF155846															AF015644										
Astroloma xerophyllum							JQ667275											JF437570																																							AY372554															JQ667109										
Astroloma prostratum							JQ667262																																																		JQ286180															JQ667100		JQ310792								
Astroloma humifusum																		JF437579																															U80433								AF155866															AY372602										
Astroloma ciliatum							JQ667246																																																		AF208748															JQ667090		JQ310790								
Astroloma recurvum							JQ305855																																																		JQ286181															JQ305830		JQ310793								
Astroloma pinifolium							JQ305853																																																		AY372549															AY372605		JQ310791								
Agapetes buxifolia																		AF382650																	AF419719														AF419811																							AF015629										
Shortia exappendiculata																		AY049804																		AF420983													AF421104							AF421031																										
Sarcodes sanguinea									AY737249									AF352010																											U59945		AF351940																																			
Huodendron biaristatum																		AF327510																										AF396173					AF396152													AF396174																				
Erica australis																		HQ858927																															L12617								AY520761															U61329										
Erica bocquetii																																														AM889613																			AM889802							AM889709						AM889887				
Erica cinerea																		HQ858978																															JN893004								AY520763															JN895169										
Erica tetralix																		HQ859295																															JN892822								AY520778															JN895519										
Cassiope tetragona																		HM182080								HM182096																		GQ244760							HM182060																															
Cassiope pectinata							JF941139											JF976087								HM182094																																														JF953432										
Macleania bullata																		AF382679			AY331826														AY331937																																					U89758										
Macleania coccoloboides																		AF382680			AY331827														AY331938																																					AF382765										
Macleania cordifolia																		AY331877			AY331828														AY331939																																					AY331904										
Arctostaphylos tomentosa									AF091972								AF297786	AF106823																															AF419815																																	
Arctostaphylos pungens									AF106808								AF297762	AF106820																															JN796931																																	
Pyrola atropurpurea																		FJ378579								FJ378627																		FJ378600													FJ378541																									
Pyrola incarnata																		FJ378590								FJ378643																		FJ378618													FJ378540																									
Pyrola alpina																		FJ378592								FJ378645																		FJ378620													FJ378561																									
Pyrola calliantha																		FJ378582								FJ378630																		FJ378603													FJ378544																									
Pyrola renifolia																		FJ378577								FJ378626																		FJ378598													FJ378539																									
Pyrola forrestiana																		FJ378581								FJ378629																		FJ378602													FJ378543																									
Pyrola rugosa																		FJ378576								FJ378625																		FJ378597													FJ378538																									
Pyrola dentata																		FJ378587								FJ378638																		FJ378612													FJ378553																									
Pyrola media																		FJ378586								FJ378634																		FJ378607													FJ378548																									
Pyrola angustifolia																		AF133738								FJ378624																		FJ378596													FJ378537																									
Pyrola asarifolia																		AF133736								FJ378637																		FJ378611													FJ378552																									
Pyrola chlorantha																		FJ378574								FJ378641																		FJ378615													FJ378556																									
Pyrola morrisonensis																		FJ378584								FJ378632																		FJ378605													FJ378546																									
Pyrola japonica																		AB629060								FJ378646																		FJ378617													FJ378562																									
Pyrola tschanbaischanica																		FJ378583								FJ378631																		FJ378604													FJ378545																									
Pyrola elegantula																		FJ378585								FJ378633																		FJ378606													FJ378547																									
Pyrola decorata																		FJ378580								FJ378628																		FJ378601													FJ378542																									
Pyrola nephrophylla																		FJ378594								FJ378647																		FJ378621													FJ378563																									
Cavendishia capitulata																		AY331868			AY331811														AY331923																																					AY331895										
Cavendishia grandifolia																		AY331869			AY331813														AY331924																																					AY331896										
Cavendishia martii																		AF382658			AY331814														AY331925																																					AF382747										
Cavendishia bracteata																		AY331867			AY331810														AY331922																																					AY331894										
Cavendishia complectens																		AF382657			AY331812														AF419723																																					U89762										
Polyclita turbinata																		AF382689			AY331830														AY331941																																					AF382774										
Psammisia ecuadorensis																		AF382691			AY331832														AY331942																																					AF382776										
Psammisia sodiroi																		AY331878			AY331833														AY331943																																					AY331905										
Psammisia dolichopoda																		AF382690			AY331831														AF419730																																					AF382775										
Psammisia ulbrichiana																		AY331879			AY331834														AY331944																																					AY331906										
Hemitomes congestum									AF351921									AF351999																											HQ448762		AF351953																																			
Thibaudia parvifolia																		AF382713			AY331863														AY331972																																					AF382795										
Thibaudia diphylla																		AY331888			AY331856														AY331965																																					AY331915										
Thibaudia litensis																		AY331890			AY331859														AY331968																																					AY331917										
Thibaudia densiflora																		AF382708			AY331855														AY331964																																					AF382790										
Thibaudia tomentosa																		AY331892			AY331864														AY331973																																					AY331919										
Thibaudia pachyantha																		AF382712			AY331862														AY331971																																					AF382794										
Thibaudia costaricensis																		AY331887			AY331854														AY331963																																					AY331914										
Thibaudia martiniana																		AY331891			AY331861														AY331970																																					AY331918										
Thibaudia macrocalyx																		AF382711			AY331860														AY331969																																					AF382793										
Thibaudia inflata																		AY331889			AY331858														AY331967																																					AY331916										
Thibaudia floribunda																		AF382709			AY331857														AY331966																																					AF382791										
Chimaphila japonica																		FJ378566								FJ357250																		FJ357280													FJ357266																									
Sphyrospermum buxifolium																		AF382702			AY331848														FJ001747																																					U89751										
Sphyrospermum cordifolium																		AY331886			AY331850														AY331960																																					AY331913										
Sphyrospermum ellipticum																		AY331885			AY331849														FJ001748																																					AY331912										
Satyria panurensis																		AF382697			AY331841														AY331951																																					AF382782										
Satyria meiantha																		AF382696			AY331840														AY331950																																					AF382781										
Satyria leucostoma																		AF382695			AY331839														AY331949																																					AF382780										
Satyria ventricosa																		AY331884			AY331845														AY331955																																					AY331911										
Satyria boliviana																		AF382693			AY331836														AY331946																																					AF382778										
Satyria cerander																		AY331880			AY331837														AY331947																																					AY331907										
Satyria allenii																		AF382692			AY331835														AY331945																																					AF382777										
Satyria vargasii																		AY331883			AY331844														AY331954																																					AY331910										
