Declieuxia dusenii																AF004045																																																																				
Mussaenda parvifolia																	AJ846874																																																																			
Mussaenda elegans																	AJ846862																																																																			
Mussaenda vidalii																	AJ846852																																																																			
Mussaenda afzelii																	AJ846867																																																																			
Mussaenda monticola																	AJ846868																																																																			
Mussaenda reinwardtiana																	AJ846855																																																																			
Mussaenda shikokiana																	AJ846854																																																																			
Mussaenda isertiana																	AJ846866																																																																			
Mussaenda nivea																	AJ846861																																																																			
Mussaenda multibracteata																	AJ846853																																																																			
Mussaenda palawanensis																	AJ846863																																																																			
Mussaenda nervosa																	AJ846859																																																																			
Mussaenda benguetensis																	AJ846864																																																																			
Mussaenda grandiflora																	AJ846865																																																																			
Psychotria chitariana																	FJ208643																																																																			
Psychotria trichocalyx																	AF072030																																																																			
Psychotria serfipiles																AF410753																																																																				
Psychotria gracilenta																																				JQ593766																																																
Psychotria undata						DQ131774																																																																														
Psychotria membranacea																	AF034909																																																																			
Psychotria gabonica																AF410715																																																																				
Psychotria erecta																AF129274																																																																				
Psychotria bacteriophila						X76481																																																																														
Psychotria gyrulosa																AF410718																																																																				
Psychotria boquetensis																	FJ208595																																																																			
Psychotria ligustrifolia																AF001348																																																																				
Psychotria peteri																																				Z68817																																																
Psychotria montana																AF369862																																																																				
Psychotria mahonii																	AF072042																																																																			
Psychotria tephrosantha																AF411077																																																																				
Psychotria insueta																	FJ208644																																																																			
Psychotria nutans																AF369863																																																																				
Psychotria revoluta																	EU554364																																																																			
Psychotria rupicola																AF410750																																																																				
Psychotria olgae																	FJ208621																																																																			
Psychotria decorifolia																	AF034911																																																																			
Psychotria volkensii																AF410765																																																																				
Psychotria incompta																AF369859																																																																				
Psychotria manillensis																	AF072025																																																																			
Psychotria rufipes																	EU554362																																																																			
Psychotria fosteri																	FJ208630																																																																			
Psychotria suerrensis																																				JQ593839																																																
Psychotria lokohensis																																																														JN643318																						
Psychotria cuspidata																	AF149376																																																																			
Psychotria coelospermum																AF410706																																																																				
Psychotria simmondsiana																	AF072022																																																																			
Psychotria siamica																AF410754																																																																				
Psychotria comperei																AF410707																																																																				
Psychotria mirandae																	FJ208593																																																																			
Psychotria ankasensis																AF001347																																																																				
Psychotria submontana																	AF072023																																																																			
Psychotria biaurita																AF410682																																																																				
Psychotria tarambassica																AF410757																																																																				
Psychotria costivenia																	FJ392599																																																																			
Psychotria buchtienii																																				JQ593749																																																
Psychotria durilancifolia																	FJ208645																																																																			
Psychotria amoena																AF369851																																																																				
Psychotria furcata																	AF071996																																																																			
Psychotria rhombocarpa																	AF072031																																																																			
Psychotria philacra																	FJ208596																																																																			
Psychotria liesneri																	FJ208615																																																																			
Psychotria straminea																AF369866																																																																				
Psychotria fitzalanii																	AF072024																																																																			
Psychotria djumaensis																AF410711																																																																				
Psychotria micrantha																	AF072048																																																																			
Psychotria nairobiensis																AF410737																																																																				
Psychotria maingayi																AF001352																																																																				
Psychotria brevipuberula																AF410700																																																																				
Psychotria brasiliensis																	AF072053																																																																			
Rudgea skutchii																																				JQ593886																																																
Rudgea lorentensis																																				Z68821																																																
Rudgea sessiliflora																																				AJ002187																																																
Rudgea palicoureoides																AF369867																																																																				
Rudgea recurva																																				AM117267																																																
Rudgea raveniana																	AF072059																																																																			
Chazaliella sciadephora																AF001337																																																																				
Chazaliella macrocarpa																AF369842																																																																				
Crusea hispida																AF002759																																																																				
Oxyceros longiflorus																AF201010																																																																				
Rondeletia alaternoides																																																												AF152740																								
Rondeletia ochracea																	AY730316																																																																			
Rondeletia subcanescens																	AY730320																																																																			
Rondeletia chamaebuxifolia																	AY730327																																																																			
Rondeletia cincta																	AY730323																																																																			
Rondeletia purdiei																	AY730328																																																																			
Rondeletia stipularis																	AY730319																																																																			
Rondeletia barahonensis																	AY730321																																																																			
Rondeletia cymosa																	AY730324																																																																			
Rondeletia lomensis																	AY730313																																																																			
Rondeletia berteroana																	AY730322																																																																			
Rondeletia pachyphylla																	AY730331																																																																			
Rondeletia plicatula																	AY730318																																																																			
Neonauclea obversifolia																																				JF738845																																																
Neonauclea vanderguchtii																											AJ812083																																																									
Otiophora stolzii																AM266840																																																																				
Palicourea alajuelensis																																				JQ593647																																																
Palicourea cuspidata																AF001343																																																																				
Ceriscoides sessiliflora																AF200989																																																																				
Sacosperma paniculatum						DQ131782																																																																														
Deccania pubescens																AF200991																																																																				
Myrmecodia armata																	AF034917																																																																			
Myrmecodia longifolia						AB044150																																																																														
Myrmecodia platytyrea						AB044151																																																																														
Arcytophyllum filiforme																	AM182066																																																																			
Arcytophyllum lavarum																	AM182067																																																																			
Arcytophyllum ericoides																AF333352																																																																				
Arcytophyllum serpyllaceum																AF333364																																																																				
Arcytophyllum capitatum																	AM182063																																																																			
Arcytophyllum erilavarum																AF333354																																																																				
Stevensia minutifolia																	AY730309																																																																			
Enterospermum coriaceum																																				X83634																																																
Kadua rapensis																EU642531																																																																				
Nesohedyotis arborea																AF003607																																																																				
Hindsia glabra																AF004056																																																																				
Notopleura polyphlebia																																				JQ593716																																																
Notopleura capitata																																				JQ593710																																																
Vangueria latifolia																																																												AJ874950																								
Paracoffea melanocarpa																																				Z68853																																																
Borreria assurgens						X81679																																																																														
Gardenia papuana																																				JF738591																																																
Gardenia imperialis						DQ131737																																																																														
Gardenia multiflora						DQ131692																																																																														
Pseudomussaenda rivularis																	AJ846878																																																																			
Pseudomussaenda stenocarpa																	AJ846876																																																																			
Guettarda divaricata																	DQ063675																																																																			
Guettarda pungens																	DQ063685																																																																			
Guettarda pohliana																	DQ063684																																																																			
Guettarda hirsuta																	DQ063678																																																																			
Guettarda stenophylla																	DQ063706																																																																			
Guettarda elliptica																	DQ063676																																																																			
Guettarda splendens																	DQ063690																																																																			
Guettarda trimera																	DQ063691																																																																			
Guettarda heterosepala																	DQ063677																																																																			
Guettarda krugii																	DQ063680																																																																			
Guettarda humboldtensis																	DQ063679																																																																			
Guettarda noumeana																	DQ063683																																																																			
Guettarda combsii																	DQ063673																																																																			
Guettarda platypoda						DQ131738																																																																														
Guettarda nannocarpa																	DQ063682																																																																			
Guettarda odorata																																																												AF152728																								
Phialanthus stillans						DQ131762																																																																														
Sabicea vogelii																	AM409044																																																																			
Sabicea glabrescens																	AM409024																																																																			
Sabicea orientalis																	AM409032																																																																			
Sabicea nobilis																																																											AM982759																									
Sabicea efulenensis																	AM409019																																																																			
Sabicea gilletii																	AM409023																																																																			
Sabicea calycina																AF331655																																																																				
Sabicea speciosa																	AM409037																																																																			
Sabicea amazonensis																	AM409007																																																																			
Sabicea thyrsiflora																AF332372																																																																				
Sabicea johnstonii																	AM409028																																																																			
Sabicea harleyae																	AM409025																																																																			
Sabicea ingrata																	AM409027																																																																			
Sabicea mattogrossensis																	AM409029																																																																			
Sabicea fulva																	AM409022																																																																			
Sabicea brevipes																	AM409009																																																																			
Sabicea cana																	AM409011																																																																			
Sabicea cinerea																	AM409014																																																																			
Sabicea rosea																	AM409035																																																																			
Sabicea thomensis																	AM409038																																																																			
Sabicea chocoana																	AM409013																																																																			
Sabicea venezuelensis																	AM409039																																																																			
