Symplocos tricoccata						AY336463	AY336301			AY336409	
Symplocos migoi		DQ086379				AY630750	AY336296			AY630714	
Symplocos caerulescens		DQ086398		AY630679		AY630754	AY630647				
Symplocos hintonii			DQ086342			AY336448	AY336288			AY336397	
Symplocos pyrifolia		DQ086376				AY336472	AY336313			AY336414	
Symplocos prunifolia	AB729084					AY630749	AY336337		AB178631		
Symplocos persistens				AY336366		AY336471	AY336310			AY630711	
Symplocos bicolor				AY630652		AY630724	AY630624			AY630683	
Symplocos crenata				AY336342		AY630722	AY336268			AY336385	
Symplocos brenesii				AY630653		AY630725	AY336286			AY630685	
Symplocos congesta		DQ086391		AY679810		AY630745	AY336311				
Symplocos austrosinensis				AY679814		AY630744	AY336336			AY630705	
Symplocos guadeloupensis				AY336344		AY336434	AY336270			AY336387	
Symplocos ovatilobata		DQ086375		AY630675		AY336465	AY336303			AY336411	
Symplocos pycnantha		DQ086348		AY630660		AY630732	AY630630			AY630692	
Symplocos falcata		DQ086365		DQ086291		DQ086412	DQ086277			DQ086305	
Symplocos sulcinervia		DQ086359		AY630670		AY630742	AY630640			AY630703	
Symplocos nitens		DQ086346		DQ086287		DQ086408	DQ086273			DQ086301	
Symplocos anomala	HQ427233	DQ086369		AY679808		AY336453	AY336291				
Symplocos verrucisurcula		DQ086363		AY630671		AY630743	AY630641			AY630704	
Symplocos hookeri	AF419615			AY336377		AF534682	AY336333	AY163753			
Symplocos fuscata		DQ086339		AY630656		AY336450	AY630625			AY630688	
Symplocos tacanensis		DQ086360		AY336351		AY336443	AY336282			AY336395	
Symplocos longipes		EU863154		EU863158		EU863156	AY336271			AY336388	
Symplocos glaberrima		DQ086315		DQ086281		DQ086402	DQ086267			DQ086295	
Symplocos dryophila		DQ086370		AY336361		AY336462	AY336299			AY336407	
Symplocos serrulata		DQ086351		AY630668		AY630735	AY630633			AY630695	
Symplocos matudae		DQ086345		AY630658		AY630730	AY630628			AY630690	
Symplocos tetragona		DQ086382		AY336360		AY336458	AY336297			AY336405	
Symplocos citrea		DQ086336		AY630654		AY630726	AY336280			AY630686	
Symplocos lanata		DQ086329		AY630650		AY630723	AY630623			AY630681	
Symplocos arborea		DQ086383		AY630678		AY630753	AY630646			AY630718	
Symplocos limoncillo		DQ086343		AY336355		AY336451	AY630626			AY336399	
Symplocos celastrinea		DQ086314		DQ086280		DQ086401	DQ086266			DQ086294	
Symplocos povedae		DQ086347		AY630659		AY630731	AY630629			AY630691	
Symplocos cochinchinensis	HQ415170			HQ415341	AB115382		AB114883		AB115348		
Symplocos phyllocalyx		DQ086380		AY336358		AY336455	AY336292			AY336403	
Symplocos micrantha		DQ086330		AY336348		AY336438	AY336274			AY336392	
Symplocos glomerata		DQ086395		AY336373		AY336481	AY336324			AY679791	
Symplocos nokoensis		DQ086387		AY679812		AY336479	AY336323			AY336419	
Symplocos speciosa		DQ086357		AY630669		AY630741	AY336287			AY630701	
Symplocos uniflora		DQ086362		DQ086288		DQ086409	DQ086274			DQ086302	
Symplocos mollifolia		DQ086374		AY336367		AY336473	AY336314			AY336415	
Symplocos hartwegii		DQ086340		AY336350		AY336442	AY336281			AY336394	
Symplocos breedlovei		DQ086335		AY336354		AY336446	AY336285			AY630684	
Symplocos pentandra		DQ086322		DQ086284		DQ086406	DQ086271			DQ086298	
Symplocos berteroi		DQ086334		AY336349		AY336440	AY336276			AY336393	
Symplocos adenophylla		DQ086390		AY336364		AY336469	AY336308			AY336413	
Symplocos quitensis		DQ086349		AY630661		AY630733	AY630631			AY630693	
Symplocos viridissima		DQ086378		AY679813		AY336464	AY336302			AY336410	
Symplocos microstyla		DQ086368		DQ086293		DQ086414	DQ086279			DQ086307	
Symplocos macrophylla		DQ086372		AY630674		AY630747	AY336309			AY630710	
Symplocos reflexa		DQ086350		AY630662		AY630734	AY630632			AY630694	
Symplocos candelabra		DQ086364		DQ086289		DQ086410	DQ086275			DQ086303	
Symplocos coccinea		DQ086337		AY630655		AY336441	AY336279			AY630687	
Symplocos glandulifera		DQ086393		AY336374		AY336482	AY336326			AY336420	
Symplocos euryoides		DQ086392		AY336363		AY336468	AY336307			AY336412	
Symplocos heishanensis					AB115376	AY336490	AY630642		AB115342	AY630708	
Symplocos bogotensis		DQ086313		AY630649		AJ430889	AY630622			AY630680	
Symplocos organensis		DQ086367		DQ086292		DQ086413	DQ086278			DQ086306	
Symplocos chinensis		DQ086311		AY336341		AY336431	AF396229		AF396224	AY336383	
Symplocos sumuntia	HQ427232	DQ086388		AY336371		AY336476	AY336322			AY336417	
Symplocos tinctoria	AF380063	DQ086324		AY336345		AY336435	AY336272			AY336389	
Symplocos confusa		DQ086309	DQ086310	AY336339		AY336428	AY336261			AY336381	
Symplocos lanceolata		DQ086320	DQ086319	DQ086283		DQ086404	DQ086269			AY336386	
Symplocos adenopus	HQ415169			HQ415340	HQ415518	AY336487	AY336332			AY336424	
Symplocos martinicensis	GQ428625	DQ086344		AY630657		AY630729	AY630627			AY630689	
Symplocos itatiaiae		DQ086316	DQ086317	DQ086282		DQ086403	DQ086268			DQ086296	
Symplocos glauca		DQ086394		AY679807	AB115387	AY336483	AY336327		AB115353		
Symplocos laurina		DQ086385		AY336369	EU769952	AY336475	AY336317			AY630719	
Symplocos variabilis		DQ086325	DQ086326	DQ086286		DQ086407	DQ086272			DQ086300	
Symplocos grandis		DQ086396		AY336375	AB115388	AY336484	AY336328		AB115354	AY336421	
Symplocos lancifolia	HQ415167	DQ086371		HQ415339	HQ415516	AY679793	AY336315		AB115352		
Symplocos setchuensis	HQ427235	DQ086381		AY336359		AY336456	AY336294	AF520111		AY336404	
Symplocos austromexicana		DQ086333		AY630651	AB115368	AY336449	AY336289		AB115334	AY630682	
Symplocos wikstroemiifolia	HQ415168	DQ086327	DQ086328	AY336346	HQ415517	AY336436	AY336273			AY336390	
Symplocos paniculata	Z83139	DQ086312		AY336340	AB115370	AY336430	AY336263		AB115336	AY336382	
Symplocos stellaris	HQ427236	DQ086397		AY336376	AB115389	AY336485	AY336329		AB115355	AY336422	
