marker	taxa
COSII_At1g20050	112
unknown.2	112
5.8S-rRNA	111
trnT-trnL-intergenic-region	97
RPC1.1	97
psbE	95
petB	94
RPC1	92
contains-5S-ribosomal-RNA-and-intergenic-spacer-region	91
pentatricopeptide-repeat-containing-protein	87
pentatricopeptide-repeat-containing-protein-11	86
psbM-trnD-intergenic-spacer,-IGS	85
matR	84
cox1	82
trnC-ycf6-intergenic-spacer	82
RPB2D	81
contains-psbA-gene-and-psbA-trnH-intergenic-spacer	81
RPB2.2	81
RPB2D.1	81
trnC	80
rpl32.1	79
accD	79
petN-psbM-intergenic-spacer,-IGS	77
matK.1	77
trnF	77
rps4	74
trnT	72
COSII_At2g15890	72
rpoc1	71
trnD-trnT-intergenic-spacer	66
LEAFY	63
COSII_At2g38020.1	63
26S-ribosomal-RNA.1	63
trnT-trnL-intergenic-spacer-region	60
external-transcribed-spacer	60
COSII_At1g50020-like-protein	58
unknown.14	58
unknown.29	57
chloroplast-glutamine-synthetase	55
adh	55
lfy	54
external-transcribed-spacer,-ETS.2	54
contains-partial-psbA-gene,-psbA-trnH-intergenic-spacer-and-partial-trnH-gene	53
rpoB-trnC-intergenic-spacer	52
GGR	51
U2A'	50
unknown.4	50
26S-large-subunit-ribosomal-RNA	49
LFY	49
tRNA-Phe	49
trnD-trnT-intergenic-spacer-region	49
phan	48
ITS2	48
COSII_At2g38020	47
18S-rRNA	47
rpL32	47
psbM-trnD-intergenic-spacer	47
rps2	46
unknown.6	46
MPF2-like	46
trnS-Yfc9-intergenic-spacer	46
rpoC1.1	46
NIA	45
18S-ribosomal-RNA.1	44
ITS1	44
GBSSI.1	44
intergenic-spacer,-IGS	43
ndhF-rpl32-intergenic-spacer	43
phya	43
COSII_At3g10920	42
atpA	41
contains-tRNA-Leu-(trnL),-trnL-trnF-intergenic-spacer-and-tRNA-Phe-(trnF)	39
chalcone-synthase	39
unknown.3	36
PHOT2	36
rbcl	35
At1g44760-like-protein	35
RPB2	35
rps16.3	34
rps16-trnK-intergenic-spacer	34
MPF1-like-protein	33
contains-tRNA-Leu-(trnL)-gene,-trnL-trnF-intergenic-spacer,-and-tRNA-Phe-(trnF)-gene	33
ccsA	32
rpl2	32
PepC-Small	32
unknown.7	32
MADS	32
external-transcribed-spacer,-ETS.3	32
atpE	32
unknown.19	31
psbJ	31
contains-tRNA-Leu-(trnL)-gene,-trnL-trnF-intergenic-spacer-and-tRNA-Phe-(trnF)-gene	31
trnC-rpoB-intergenic-spacer	31
contains-trnL-rpl32-intergenic-spacer-and-partial-rpl32-gene	30
psbB-psbH-intergenic-spacer	30
NIA.1	30
PepC-Large	29
5S-ribosomal-RNA-non-transcribed-spacer	29
glo	28
atp1	28
5S-rRNA	28
rps16-trnQ(UUG)-intergenic-spacer	28
phyA	27
PI	27
ycf5	27
ANS	27
rps16.1	26
unknown.8	26
external-transcribed-spacer.1	26
aat	26
NAMT	26
psbA-trnH-intergenic-spacer;-may-also-contain-psbA-and-trnH-genes	25
trnK.1	25
S.1	25
phosphoenolpyruvate-carboxylase	25
NADH-dehydrogenase-subunit-F	24
ndhJ	24
5S-ribosomal-RNA	24
unknown.27	24
rpb2-d	23
trnQ-rps16-intergenic-spacer	23
unknown.5	23
internal-transcribed-spacer-2,-ITS2	23
atp1.1	23
external-transcribed-spacer,-ETS.1	22
ubiquitin-conjugating-enzyme	22
putative-cytosolic-glutathione-reductase	21
Tpi	21
putative-uroporphyrinogen-decarboxylase	21
internal-transcribed-spacer-1,-ITS1.1	21
40S-ribosomal-subunit-associated-protein	21
trnS-trnG-intergenic-spacer.1	21
CHS-E	21
petL-psbE-intergenic-spacer	21
putative-eukaryotic-translation-initiation-factor-SUI1	21
atpF	21
putative-Pto-like-serine/threonine-kinase	20
trnT(UGU)-trnL(UAA)-intergenic-spacer	20
psbD-trnT-intergenic-spacer	20
contains-atpI-gene,-atpI-atpH-spacer-and-atpH-gene	20
rpoC1.2	20
ndhA	20
rps3	19
unknown.13	19
rpoB.1	18
NtoDFR	18
Xdh	17
matK.2	17
psbA-trnH-intergenic-spacer;-may-also-contain-psbA-gene.1	16
non-transcribed-spacer;-NTS	15
trnE	15
infA	15
rbcL-atpB-intergenic-spacer	15
PMT	15
contains-5S-ribosomal-RNA-and-nontranscribed-spacer	14
S-RNase	14
bHLH2	14
3-methylcrotonyl-CoA-carboxylase	14
trnV	14
unknown.18	14
rpl16.1	14
nad1	14
similar-to-ribulose-1,5-bisphosphate-carboxylase/oxygenase-large-subunit;-rbcL	14
WDR1	14
P	13
18S-RNA-gene	13
S.3	13
bHLH1	12
myb1	12
F3H	12
psbB	12
PI.1	12
Waxy	12
AT3-1	11
beta-amylase.1	11
rpi-vnt1-like-protein	11
S1-RNase.1	11
ncpGS	11
contains-PsaB-(psaB),-psaB-trnH-intergenic-spacer,-and-tRNA-His-(trnH)	11
flavonoid-3'-hydroxylase	10
OSM1	10
trnS-trnfM-intergenic-spacer	10
disease-resistance-protein-RGH4	10
S1-RNase	10
GLO	10
16S-rRNA	10
internal-transcribed-spacer-1,-ITS1	10
18S-ribosomal-RNA.2	9
trnL-trnF-intergenic-spacer	9
NAD1	9
unknown.17	9
unknown.25	9
rp120-rps12-intergenic-spacer	9
trnC-GCA	9
rpS14-cob-intergenic-spacer	9
rps19	9
unknown.12	9
rps16.2	9
NAD7	9
unknown.26	8
unknown.24	8
unknown.16	8
rpl32-trnL(UAG)-intergenic-spacer;-may-also-contain-rpl32-gene	8
5S-ribosomal-RNA-non-transcribed-spacer;-5S-NTS	8
nad4.1	8
DEF	8
similar-to-dihydroflavonol-4-reductase	7
similar-to-NADH-dehydrogenase-1;-coding-region-not-determined;-amplified-using-exonB-and-exonC-primers	7
3-UFGT	7
atpF.1	7
CaM	7
trnH-K1-intergenic-spacer	7
trnH-psbA-intergenic-spacer.1	7
NADH-dehydrogenase-subunit-1	7
S	7
CkCS1	6
28S-ribosomal-RNA	6
WRKY1-1	6
WRKY1	6
H6H	6
CaM.1	6
putative-progesterone-5-beta-reductase	6
trnD	6
Pvr1	6
Pvr1.1	6
rpl32-tRNA-Leu-intergenic-spacer	6
petA-psbJ-intergenic-spacer	6
S.4	5
rpl32-trnL-intergenic-region	5
rps8	5
osmotin	5
5-enolpyruvylshikimate-3-phosphate-synthase	5
psbC	5
S.2	5
5'-upstream-region-to-trnS-gene	5
external-transcribed-spacer,-ETS	5
unknown.23	5
psbA-trnH-intergenic-spacer;-may-also-contain-psbA-gene.2	5
trnH-trnK-intergenic-spacer	5
contains-promoter-and-5'-UTR	5
internal-transcribed-spacer-2,-ITS2.1	5
CYC2A	5
At1g14300-like-protein	4
TDC	4
beta-1,3-glucanase	4
trnS-trnC-intergenic-spacer	4
intergenic-spacer,-IGS.1	4
atpB---rbcL-intergenic-spacer	4
similar-to-RGA	4
disease-resistance-like-protein	4
contains-tRNA-Leu-(trnL)-and-trnL-trnF-intergenic-spacer.1	4
internal-transcribed-spacer-1,-ITS1.2	4
At5g04590-like-protein	4
progesterone-5-beta-reductase	4
internal-transcribed-spacer-2	4
flavanone-3-hydroxylase	4
S.5	4
transposase	4
atpI-atpH-intergenic-spacer	4
psbA---trnH-intergenic-spacer	4
psaB	4
unknown.28	4
rpl14-rps8-infA-rpl36-intergenic-region	4
At3g24010-like-protein	4
similar-to-RNA-polymerase-II;-RPB2	4
endochitinase	4
strictosidine-synthase	4
At3g62940-like-protein	4
trnA	4
ndhI	4
CYC2B	4
nad4	3
unknown.21	3
TPS17	3
flavonoid-3',5'-hydroxylase	3
contains-trnD-trnY-intergenic-spacer,-tRNA-Tyr-(trnY),-trnY-trnE-intergenic-spacer,-tRNA-Glu-(trnE),-and-trnE-trnT-intergenic-spacer	3
RPB2.1	3
TBP1	3
DIV3B	3
putative-small-nuclear-ribonucleoprotein-F	3
rncL	3
putative-oligouridylate-binding-protein	3
5S-ribosomal-RNA-nontranscribed-spacer.1	3
ppo	3
beta-amylase	3
putative-protein-kinase	3
putative-CBF/DREB-transcription-factor	3
contains-5S-ribosomal-RNA-and-5S-ribosomal-RNA-non-transcribed-spacer	3
spo-9	3
trnD-trnT-intergenic-spacer;-may-contain-other-tRNA-genes	3
unknown.15	3
psbA-trnH-intergenic-spacer;-may-also-contain-psbA-gene	3
accD.1	3
contains-psbA-trnH-intergenic-spacer	3
GDH	3
putative-60S-ribosomal-protein-L38	3
sphingolipid-delta-8-desaturase	3
unknown.22	3
coxI	3
rpoC2	3
internal-transcribed-spacer-1,-ITS1.3	3
5S-ribosomal-RNA-non-transcribed-spacer;-5S-NTS.1	2
trnL-trnF-intergenic-spacer-region	2
ORFIII-like-polyprotein	2
unknown.20	2
contains-rpl32,-rpl32-trnL-intergenic-spacer-and-tRNA-Leu	2
nad5	2
atp6	2
Top1	2
5S-ribosomal-RNA-non-transcribed-spacer.1	1
unknown.11	1
unknown.9	1
5S-ribosomal-RNA-nontranscribed-spacer	1
unknown.10	1
tdc	1
contains-5S-ribosomal-RNA-and-non-transcribed-spacer	1
