taxa_in_original_tree	species	total	rbcL	matK	rps16	ndhF	5.8S-ribosomal-RNA	contains-trnT-trnL-intergenic-spacer,-tRNA-Leu-(trnL),-trnL-trnF-intergenic-spacer,-and-tRNA-Phe-(trnF)
Aquifoliales	Ilex decidua	1	AF471626	NA	NA	NA	NA	NA
Aquifoliales	Ilex leucoclada	1	AF471656	NA	NA	NA	NA	NA
Aquifoliales	Ilex mitis	1	AF471667	NA	NA	NA	NA	NA
Aquifoliales	Ilex liebmannii	1	AF471659	NA	NA	NA	NA	NA
Aquifoliales	Ilex matanoana	1	AF471669	NA	NA	NA	NA	NA
Aquifoliales	Ilex theezans	1	AF471709	NA	NA	NA	NA	NA
Aquifoliales	Ilex canariensis	1	AJ786546	NA	NA	NA	NA	NA
Aquifoliales	Ilex brasiliensis	1	AF471600	NA	NA	NA	NA	NA
Aquifoliales	Ilex triflora	1	AF471711	NA	NA	NA	NA	NA
Aquifoliales	Ilex liukiuensis	1	AF471661	NA	NA	NA	NA	NA
Aquifoliales	Ilex revoluta	1	AF471699	NA	NA	NA	NA	NA
Aquifoliales	Ilex perado	1	AJ786524	NA	NA	NA	NA	NA
Aquifoliales	Ilex teratopis	1	AF471707	NA	NA	NA	NA	NA
Aquifoliales	Ilex collina	1	AF471615	NA	NA	NA	NA	NA
Aquifoliales	Ilex glabra	1	AF471639	NA	NA	NA	NA	NA
Aquifoliales	Ilex pedunculosa	1	AF471682	NA	NA	NA	NA	NA
Aquifoliales	Ilex argentina	1	AF471592	NA	NA	NA	NA	NA
Aquifoliales	Ilex rugosa	1	AF471698	NA	NA	NA	NA	NA
Aquifoliales	Ilex serrata	1	AF471704	NA	NA	NA	NA	NA
Aquifoliales	Ilex macropoda	1	AF471662	NA	NA	NA	NA	NA
Aquifoliales	Ilex verticillata	1	AF471713	NA	NA	NA	NA	NA
Aquifoliales	Ilex kaushue	1	NA	JF954101	NA	NA	NA	NA
Aquifoliales	Ilex pentagona	1	NA	JF954110	NA	NA	NA	NA
Aralidium	NA	0	NA	NA	NA	NA	NA	NA
Argophyllaceae	NA	0	NA	NA	NA	NA	NA	NA
Boraginales	Cordia nevillii	3	HQ384923	NA	HQ385199	HQ384860	NA	NA
Boraginales	Cordia dentata	3	JQ590888	JQ587086	HQ286263	NA	NA	NA
Boraginales	Cordia sagotii	2	FJ037971	FJ514773	NA	NA	NA	NA
Boraginales	Cordia sinensis	2	JF265370	JF270723	NA	NA	NA	NA
Boraginales	Cordia decandra	2	NA	NA	EF689005	EF688954	NA	NA
Boraginales	Cordia nodosa	2	NA	NA	HQ286261	AF047808	NA	NA
Boraginales	Cordia myxa	2	EU599828	NA	HQ286262	NA	NA	NA
Boraginales	Cordia lasiocalyx	1	GQ981714	NA	NA	NA	NA	NA
Boraginales	Cordia dichotoma	1	JX141399	NA	NA	NA	NA	NA
Boraginales	Cordia borinquensis	1	HM446784	NA	NA	NA	NA	NA
Boraginales	Cordia polycephala	1	NA	NA	NA	HM443787	NA	NA
Boraginales	Cordia monoica	1	JF265368	NA	NA	NA	NA	NA
Boraginales	Cordia inermis	1	JQ590906	NA	NA	NA	NA	NA
Boraginales	Cordia cymosa	1	JQ590886	NA	NA	NA	NA	NA
Boraginales	Cordia bicolor	1	JQ590882	NA	NA	NA	NA	NA
Boraginales	Cordia alliodora	1	NA	JQ587076	NA	NA	NA	NA
Boraginales	Cordia gerascanthus	1	JQ590897	NA	NA	NA	NA	NA
Boraginales	Cordia collococca	1	JQ590885	NA	NA	NA	NA	NA
Boraginales	Cordia panamensis	1	JQ590919	NA	NA	NA	NA	NA
Boraginales	Cordia trichotoma	1	EU599827	NA	NA	NA	NA	NA
Bruniales	Brunia albiflora	3	AY490988	NA	AJ431072	AF060159	NA	NA
Bruniales	Berzelia lanuginosa	3	L14391	NA	GQ984001	AJ236241	NA	NA
Bruniales	Desfontainia spinosa	3	Z29670	NA	AJ431074	AJ011988	NA	NA
Bruniales	Columellia oblonga	3	Y10675	NA	AJ431073	AF060160	NA	NA
Bruniales	Staavia radiata	2	AM234937	NA	NA	NA	AY494037	NA
Bruniales	Berzelia abrotanoides	2	AY490987	NA	NA	NA	AY494009	NA
Bruniales	Audouinia capitata	2	AY490992	NA	NA	NA	AY494050	NA
Bruniales	Nebelia fragarioides	2	AY490985	NA	NA	NA	AY494024	NA
Bruniales	Mniothamnea bullata	2	AY490983	NA	NA	NA	AY494030	NA
Bruniales	Linconia alopecuroides	2	AY490993	NA	NA	NA	AY494029	NA
Cornales	Cornus nuttallii	5	AF006833	U96897	FJ541998	EU373590	DQ340538	NA
Cornales	Camptotheca acuminata	5	JQ280850	JQ280882	EU734472	JF321071	JQ280786	NA
Cornales	Nyssa sinensis	5	JF308651	JQ280856	EU734480	JF321073	JF977169	NA
Cornales	Davidia involucrata	5	L11223	U96885	EU734471	AJ236265	EU734435	NA
Cornales	Cornus mas	5	L11216	AY042573	AJ430988	EU373583	AY530920	NA
Cornales	Dichroa febrifuga	5	AF323187	JF308688	HE983407	JF321085	FJ980367	NA
Cornales	Nyssa sylvatica	5	AF119178	JQ280853	EU734474	JF321072	EU734438	NA
Cornales	Hydrangea arborescens	5	AF323186	JF308692	HE983410	JF321089	DQ006012	NA
Cornales	Cornus multinervosa	4	DQ340448	DQ341346	NA	EU373592	DQ340556	NA
Cornales	Cornus volkensii	4	AY530927	AY526240	NA	EU373588	AY530919	NA
Cornales	Hydrangea petiolaris	4	AB755677	AB754589	AB237317	NA	GU983032	NA
Cornales	Cornus sessilis	4	AY530928	U96900	NA	EU373587	AY530923	NA
Cornales	Cornus peruviana	4	DQ340444	DQ340467	NA	EU373580	DQ340512	NA
Cornales	Nyssa shangszeensis	4	JQ280831	JQ280863	EU734476	NA	JF977168	NA
Cornales	Nyssa shweliensis	4	JQ280836	JQ280868	EU734484	NA	EU734448	NA
Cornales	Nyssa wenshanensis	4	JQ280827	JQ280859	EU734482	NA	JQ280762	NA
Cornales	Nyssa javanica	4	JQ280843	JQ280873	EU734486	NA	EU734449	NA
Cornales	Cornus hongkongensis	4	DQ340447	DQ341342	NA	EU373594	JQ910010	NA
Cornales	Cornus oligophlebia	4	DQ340443	DQ340463	NA	EU373579	DQ340510	NA
Cornales	Alangium salviifolium	4	JF308648	JF308672	NA	JF321066	FJ610002	NA
Cornales	Nyssa yunnanensis	4	AF384106	JQ280872	EU734488	NA	JQ280776	NA
Cornales	Cornus disciflora	4	AY530929	DQ341350	NA	EU373589	DQ343143	NA
Cornales	Cornus eydeana	4	AY243874	AY243875	NA	EU373585	AY243787	NA
Cornales	Cornus walteri	4	L11220	AY526239	NA	EU373577	AY530916	NA
Cornales	Cornus oblonga	4	L11218	U96899	NA	EU373576	AY530917	NA
Cornales	Cornus capitata	4	AY530926	U96891	NA	EU373593	AY530915	NA
Cornales	Alangium platanifolium	4	JF308649	U96880	NA	AF130221	FJ610006	NA
Cornales	Alangium chinense	4	L11209	FJ644642	NA	JF321065	FJ610011	NA
Cornales	Alangium kurzii	4	AF384108	HQ427284	NA	JF321064	FJ610018	NA
Cornales	Schizophragma hydrangeoides	4	AF323189	GU217281	NA	JF321095	GU983038	NA
Cornales	Cornus unalaschkensis	4	EU373597	DQ341336	NA	EU373596	DQ343142	NA
Cornales	Cornus chinensis	4	L11214	U96892	NA	EU373586	AY530922	NA
Cornales	Cornus canadensis	4	L01898	U96890	NA	EU373595	AY530913	NA
Cornales	Cornus suecica	4	AF421085	DQ341334	NA	AF421042	DQ340531	NA
Cornales	Hydrangea aspera	4	JF941959	AJ429277	AJ430990	NA	JF976654	NA
Cornales	Hydrangea anomala	4	AF323202	GU369710	HE983409	NA	JF976650	NA
Cornales	Hydrangea luteovenosa	4	AB755676	GU217329	HE983414	NA	GU983034	NA
Cornales	Platycrater arguta	4	AF323190	GU369714	HE983421	AJ400895	NA	NA
Cornales	Pileostegia viburnoides	4	AF323185	GU369713	HE983422	JF321094	NA	NA
Cornales	Deinanthe bifida	4	AF323192	AB236028	HE983405	JF321084	NA	NA
Cornales	Cornus sericea	4	AY725857	EU749307	NA	AY725868	DQ343139	NA
Cornales	Cornus racemosa	4	DQ340445	EU749300	NA	EU373578	DQ343137	NA
Cornales	Hydrangea serrata	4	AB755674	AB754583	HE983420	JF321088	NA	NA
Cornales	Decumaria barbara	4	AF206760	GU369707	HE983406	AJ236252	NA	NA
Cornales	Cornus alternifolia	4	AF190432	EU749298	NA	EU373581	DQ340526	NA
Cornales	Hydrangea macrophylla	4	AB755637	AB236030	HE983415	AF130218	NA	NA
Cornales	Cornus obliqua	3	L11217	U96898	NA	NA	DQ340508	NA
Cornales	Hydrangea heteromalla	3	JF941962	GU217275	NA	NA	JF976655	NA
Cornales	Mastixia euonymoides	3	JF308650	JF308674	NA	JF321069	NA	NA
Cornales	Kirengeshoma koreana	3	JQ399976	GU369712	NA	JQ399972	NA	NA
Cornales	Grubbia tomentosa	3	Z83141	AF323184	NA	AJ400890	NA	NA
Cornales	Broussaisia arguta	3	AF323188	JF308681	NA	AJ400891	NA	NA
Cornales	Philadelphus californicus	3	JF308662	JF308695	NA	JF321092	NA	NA
Cornales	Philadelphus mexicanus	3	JF308661	JF308694	NA	JF321091	NA	NA
Cornales	Fendlerella utahensis	3	AF323198	GU369709	NA	JF321086	NA	NA
Cornales	Deutzia scabra	3	JF308656	JF308685	NA	JF321081	NA	NA
Cornales	Deutzia setchuenensis	3	JF308658	JF308687	NA	JF321083	NA	NA
Cornales	Deutzia corymbosa	3	JF308657	JF308686	NA	JF321082	NA	NA
Cornales	Mastixia caudatilimba	3	L11227	U96887	NA	JF321070	NA	NA
Cornales	Whipplea modesta	3	AF323199	JF308696	NA	AJ400894	NA	NA
Cornales	Swida controversa	3	AF190433	U96893	NA	EU373582	NA	NA
Cornales	Hydrangea peruviana	3	AF323204	JF308703	NA	JF321090	NA	NA
Cornales	Hydrangea bretschneideri	3	JF308659	JF308690	NA	JF321087	NA	NA
Cornales	Jamesia americana	3	AF323201	JF308697	NA	JF321093	NA	NA
Cornales	Nyssa ogeche	3	L01937	U96886	NA	AJ236266	NA	NA
Cornales	Deutzia rubens	3	AF323196	U96884	NA	AJ400892	NA	NA
Cornales	Cardiandra alternifolia	3	AB236031	JF308682	NA	JF321080	NA	NA
Cornales	Cornus sanguinea	3	FJ395589	JN894343	NA	NA	DQ340517	NA
Cornales	Carpenteria californica	3	L11177	JF308683	NA	AF130217	NA	NA
Cornales	Kirengeshoma palmata	3	JQ399975	JQ399971	NA	AJ400896	NA	NA
Cornales	Cornus rugosa	3	EU676910	EU749302	NA	NA	DQ340516	NA
Cornales	Curtisia dentata	3	L11222	U96901	NA	JF321074	NA	NA
Cornales	Cornus officinalis	3	GQ436648	NA	NA	EU373584	AY530921	NA
Cornales	Hydrangea quercifolia	3	AF323203	GU217284	HE983417	NA	NA	NA
Cornales	Hydrangea paniculata	3	AB236036	AB236029	AB237321	NA	NA	NA
Cornales	Cornus florida	3	L11215	NA	GQ998132	EU002215	NA	NA
Cornales	Cardiandra amamiohsimensis	2	AB236032	AB236024	NA	NA	NA	NA
Cornales	Cardiandra formosana	2	AB236035	AB236027	NA	NA	NA	NA
Cornales	Philadelphus hirsutus	2	AF323193	U96881	NA	NA	NA	NA
Cornales	Cornus pumila	2	NA	DQ340469	NA	NA	DQ340514	NA
Cornales	Cornus amomum	2	NA	DQ340453	NA	NA	DQ343134	NA
Cornales	Cornus alsophila	2	NA	DQ340452	NA	NA	DQ340488	NA
Cornales	Hydrangea davidii	2	JF941960	JF954070	NA	NA	NA	NA
Cornales	Alangium ridleyi	2	NA	FJ644649	NA	NA	FJ610030	NA
Cornales	Alangium faberi	2	NA	FJ644645	NA	NA	FJ610022	NA
Cornales	Alangium kwangsiense	2	NA	FJ644644	NA	NA	FJ610021	NA
Cornales	Alangium villosum	2	NA	FJ644647	NA	NA	FJ610028	NA
Cornales	Alangium griffithii	2	NA	FJ644646	NA	NA	FJ610026	NA
Cornales	Alangium longiflorum	2	NA	FJ644638	NA	NA	FJ610000	NA
Cornales	Grubbia rosmarinifolia	2	NA	AJ429276	NA	AJ429104	NA	NA
Cornales	Cornus elliptica	2	NA	DQ341341	NA	NA	JQ910005	NA
Cornales	Cornus alba	2	NA	DQ340450	NA	NA	DQ340484	NA
Cornales	Hydrangea hirta	2	AB755675	AY254065	NA	NA	NA	NA
Cornales	Philadelphus lewisii	2	L11198	NA	NA	AJ236254	NA	NA
Cornales	Cornus macrophylla	2	NA	U96895	NA	NA	DQ340503	NA
Cornales	Nyssa aquatica	2	NA	NA	EU734473	NA	EU734437	NA
Cornales	Mastixia pentandra	2	NA	JF308673	NA	JF321068	NA	NA
Cornales	Hydrangea xanthoneura	2	GQ248623	GQ248139	NA	NA	NA	NA
Cornales	Cornus kousa	2	L14395	NA	NA	EU373591	NA	NA
Cornales	Hydrangea sargentiana	2	NA	GU217293	HE983418	NA	NA	NA
Cornales	Hydrangea angustipetala	2	NA	GU217336	HE983408	NA	NA	NA
Cornales	Hydrangea integrifolia	2	NA	GU217302	HE983412	NA	NA	NA
Cornales	Hydrangea involucrata	2	NA	GU217290	HE983413	NA	NA	NA
Cornales	Schizophragma molle	2	NA	GU217279	HE983423	NA	NA	NA
Cornales	Philadelphus pekinensis	2	NA	GU217268	HE983404	NA	NA	NA
Cornales	Hydrangea seemannii	2	NA	GU217303	HE983419	NA	NA	NA
Cornales	Cardiandra moellendorffii	1	NA	GU217270	NA	NA	NA	NA
Cornales	Philadelphus inodorus	1	NA	JF308693	NA	NA	NA	NA
Diabelia	NA	0	NA	NA	NA	NA	NA	NA
Diervilla	NA	0	NA	NA	NA	NA	NA	NA
Dipelta	Dipelta yunnanensis	2	AF446940	AF446910	NA	NA	NA	NA
Dipelta	Dipelta floribunda	2	AJ420876	FJ745399	NA	NA	NA	NA
Escalloniales	Tribeles australis	4	AJ403010	AJ429369	AJ431080	AJ429123	NA	NA
Escalloniales	Escallonia rubra	4	AJ419692	AJ429365	AJ431076	AJ277383	NA	NA
Escalloniales	Polyosma cunninghamii	4	AF299091	AJ429368	AJ431079	AJ419702	NA	NA
Escalloniales	Anopterus macleayanus	4	Y10673	GQ983639	GQ984023	AJ292984	NA	NA
Escalloniales	Valdivia gayana	4	AJ575924	GQ983642	GQ984039	AJ419703	NA	NA
Escalloniales	Eremosyne pectinata	4	L47969	AJ429364	AJ431075	AJ429120	NA	NA
Escalloniales	Forgesia racemosa	4	AJ575923	GQ983661	GQ984036	AJ419701	NA	NA
Escalloniales	Escallonia pulverulenta	2	AJ419696	NA	NA	AJ419708	NA	NA
Escalloniales	Escallonia myrtoidea	2	AJ419695	NA	NA	AJ419707	NA	NA
Escalloniales	Escallonia illinita	2	AJ419694	NA	NA	AJ419706	NA	NA
Escalloniales	Escallonia calcottiae	2	AJ419693	NA	NA	AJ419705	NA	NA
Escalloniales	Escallonia resinosa	2	AJ419697	NA	NA	AJ419709	NA	NA
Escalloniales	Escallonia coquimbensis	1	L11183	NA	NA	NA	NA	NA
Fouquieriaceae	Fouquieria splendens	2	NA	EU628509	NA	AJ236249	NA	NA
Fouquieriaceae	Fouquieria columnaris	2	NA	EU628508	NA	AF207961	NA	NA
Fouquieriaceae	Fouquieria diguetii	1	NA	AJ429285	NA	NA	NA	NA
Fouquieriaceae	Fouquieria fasciculata	1	NA	NA	NA	AY725874	NA	NA
Garryales	Garrya elliptica	4	NA	AJ429319	AJ431030	AF147714	JN234736	NA
Garryales	Aucuba japonica	4	NA	FN668800	AJ431029	AY725869	JN234733	NA
Garryales	Eucommia ulmoides	3	NA	JF953701	AJ431028	AJ429113	NA	NA
Garryales	Aucuba eriobotryifolia	1	NA	NA	NA	NA	AF421430	NA
Garryales	Aucuba chinensis	1	NA	NA	NA	NA	AF421425	NA
Garryales	Aucuba himalaica	1	NA	NA	NA	NA	AF421423	NA
Gentianales	Pentagonia macrophylla	5	GQ981826	NA	FM204727	AJ236303	FJ984999	FM207134
Gentianales	Posoqueria latifolia	5	GQ981837	NA	FM204728	AM949855	DQ787409	AF152680
Gentianales	Sipanea hispida	5	EU145458	NA	EU145492	EU145414	AY555122	AY555107
Gentianales	Bertiera guianensis	5	AJ224845	NA	AF200983	AM949847	AJ224841	AF152670
Gentianales	Aulacocalyx jasminiflora	5	EU817413	NA	EF205639	HM164354	FM204688	EU817455
Gentianales	Mussaendopsis beccariana	5	AJ347010	NA	FJ884663	FJ871960	FJ984996	AJ847410
Gentianales	Vangueria madagascariensis	5	JF265645	NA	HM164229	AJ130840	AJ224839	AF152654
Gentianales	Heinsia crinita	5	JF265468	NA	HM164210	HM164372	AJ846879	HM164323
Gentianales	Dioicodendron dioicum	5	HM164163	NA	FJ884647	FJ871952	FJ984975	AF102411
Gentianales	Wendlandia tinctoria	5	FM207649	NA	FM204739	AM949860	FM204699	FM207147
Gentianales	Afrocanthium lactescens	5	HM164152	NA	HM164189	HM164346	AJ617754	AJ620127
Gentianales	Dendrosipanea spigelioides	5	HM164162	NA	FJ884627	FJ871943	AY555121	AY555101
Gentianales	Condaminea corymbosa	5	HM164161	NA	AF004039	AJ236291	FJ984973	AF102406
Gentianales	Capirona decorticans	5	JQ626324	NA	FJ884641	AJ236286	FJ984969	AF152644
Gentianales	Hippotis triflora	5	HM164165	NA	FJ884659	FJ871956	FJ984991	FJ948397
Gentianales	Alseis lugonis	5	Y18709	NA	FJ884630	AJ236283	FJ984955	FJ948364
Gentianales	Psydrax obovata	5	AM235111	NA	HM164220	HM164388	AJ315109	AJ620161
Gentianales	Pyrostria hystrix	5	JF265568	NA	EF205648	EU145418	AJ315114	AJ620168
Gentianales	Calycophyllum candidissimum	5	JQ593625	NA	AF004030	AJ236285	DQ358886	AF152646
Gentianales	Sipanea biflora	5	AY538509	NA	AF004085	EU145413	AY555116	AF152675
Gentianales	Fadogia tetraquetra	5	AM117225	NA	HM164207	HM164367	AJ315099	AM117359
Gentianales	Emmenopterys henryi	5	Y18715	NA	AM117302	AJ236294	FJ984985	AF152637
Gentianales	Aleisanthiopsis distantiflora	5	EU817411	NA	AF242903	HM164350	JQ398731	AF152658
Gentianales	Ixora coccinea	5	HM164167	NA	EF205641	AJ236299	AJ224826	AJ620117
Gentianales	Coffea arabica	5	X81095	NA	AF004038	AJ236290	AJ224846	FJ493374
Gentianales	Aidia micrantha	4	Z68844	NA	AF200974	NA	AJ224835	AF201028
Gentianales	Retiniphyllum pilosum	4	AF331654	NA	AF004076	HM164392	NA	EU145536
