Echidnopsis socotrana																																												AJ810961	DQ469549			
Echidnopsis inconspicua																																												AJ810950	DQ469535			
Echidnopsis radians																																												AJ810969	DQ469543			
Echidnopsis ballyi																																												AJ810967	DQ469524			
Echidnopsis ericiflora																																												AJ810965	DQ469532			
Echidnopsis scutellata																																												AJ810957	DQ469546			
Echidnopsis montana																																												AJ810955	DQ469541			
Echidnopsis watsonii																																												AJ810959	DQ469553			
Echidnopsis archeri																																												AJ810964	DQ469523			
Pacouria guianensis									AF214240									AF214394																														
Tylophora grandiflora																		HE793765																			HE793794											
Tylophora rotundifolia																		GU060630															EU196295															
Tylophora caffra																		HE793761																			HE793790											
Tylophora paniculata																		HE793768																			HE793797											
Tylophora flexuosa																		AJ320411																			HE793835											
Tylophora lugardae																		HE793767																			HE793796											
Tylophora cissoides																		HE793763																			HE793792											
Tylophora gracillima																		HE793764																			HE793793											
Tylophora arachnoidea																		HE793759																			HE793788											
Tylophora urceolata																		HE793770																			HE793799											
Tylophora cameroonica																		HE793762																			HE793791											
Tylophora barbata																		HE793760																			HE793789											
Mondia whiteii									AF214230									AF214384																														
Rhytidocaulon macrolobum																																												AJ810948	DQ469554			
Rhytidocaulon fulleri																		AJ488460																											AJ488823			
Stapelianthus pilosus			AJ519967															AJ519946																														
Stapelianthus montagnacii			AJ519964															AJ519943																														
Stapelianthus madagascariensis			AJ519963															AJ519942																														
Stapelianthus keraudreniae			AJ519968															AJ519947																														
Stapelianthus arenarius			AJ519969															AJ519949																														
Stapelianthus insignis			AJ519966															AJ519945																														
Araujia angustifolia																		AJ704331																						AJ704333								
Araujia plumosa																		AJ704335																						AJ704334								
Amblyopetalum coccineum																		AJ704326																						AJ704327								
Gonolobus xanthotrichus											Z98195							DQ221133																														
Gonolobus patens									AF214208									AF214362																														
Gonolobus taylorianus																		EU031600																						EU038895								
Gonolobus suberosus																		AJ704277																						AJ704274								
Gonolobus croceus																		EU031584																						EU038839								
Gonolobus rostratus																		EU031594																						EU038849								
Gonolobus fuscoviolaceus																		EU031586																						EU038841								
Gonolobus edulis											JQ586768																						JQ590531															
Aspidosperma triternatum											AM295077																						AJ419735															
Aspidosperma megalocarpon									AF214162									AF102382																														
Aspidosperma album											JQ626571																						JQ626287															
Aspidosperma cuspa									AF214161									AF214315																														
Aspidosperma myristicifolium									AF214163									AF214317																														
Aspidosperma desmanthum									AF214160									AF214314																														
Stapeliopsis pillansii			AY790386															AY780507																														
Stapeliopsis saxatilis			AY790383															AY780504																														
Stapeliopsis stayneri			AY790385															AY780506																														
Stapeliopsis urniflora			AY790379															AY780500																														
Stapeliopsis khamiesbergsis			AY790387															AY780508																														
Stapeliopsis exasperata			AY790384															AY780505																														
Stapeliopsis breviloba			AY790380															AY780501																														
Oxypetalum brachystemma																		AJ704352																						AJ704350								
Oxypetalum lanatum																		AJ704508																						AJ704506								
Oxypetalum balansae																		AJ704348																						AJ704349								
Oxypetalum coeruleum																		AJ704356																						AJ704357								
Oxypetalum solanoides																		AJ704361																						AJ704358								
Sisyranthus compactus																		AJ410068																											AJ310795			
Sisyranthus trichostomus																		AJ574844																											AM493296			
Sisyranthus virgatus																		AJ574848																											AM493297			
Brachystelma burchellii																		AJ410047																											AJ310789			
Brachystelma rubellum																		AJ410077																											AJ310798			
Brachystelma nanum																		AJ410029																											AJ310783			
Brachystelma christianeae																		AJ410072																											AJ310796			
Brachystelma pygmaeum																		AJ410032																											AJ310784			
Brachystelma filifolium																		AJ410075																											AJ310797			
Brachystelma macropetalum																		AJ410026																											AJ310782			
Brachystelma ellipticum																		AJ410020																											AJ310781			
Laxoplumeria baehniana									AF214219									AF214373																														
Biondia henryi																		AJ410192																			HE793814											
Biondia insignis																		HE793754																			HE793783											
Orbeopsis gerstneri									AF214237									AF214391																														
Matelea maritima																		EU031621																						EU038875								
Matelea pusilliflora																		EU031629																						EU038882								
Matelea lanceolata																		EU031620																						EU038874								
Matelea pauciflora																		EU031625																						EU038878								
Matelea acuminata																		EU031604																						EU038858								
Matelea angustiloba																		EU031605																						EU038859								
Matelea chrysantha																		EU031607																						EU038861								
Orbea semitubiflora																		AJ488425																											AJ488812			
Orbea ubomboensis			AJ519982															AJ519961																														
Orbea keithii																		AJ488419																											AJ488809			
Orbea namaquensis			AY790374															AY780495																														
Orbea semota																		AJ488428																											AJ488813			
Orbea araysiana			AJ519973															AJ519952																														
Orbea wissmannii																		AJ488437																											AJ488816			
Duvalia sulcata			AJ519983															AJ519962																														
Duvalia maculata			AJ519979															AJ519958																														
Duvalia elegans									AF214193									AF214347																														
Duvalia eilensis																		AJ488370																											AJ488793			
Duvalia polita																		AJ488372																											AJ488794			
Duvalia angustiloba																		AJ488367																											AJ488792			
Astephanus triflorus																		AJ410188																						AJ699324								
Baynesia lophophora			AJ519972															AJ519951																														
Neoschumannia cardinea																		AJ410051																											AJ310790			
Neoschumannia kamerunensis																		AJ410054																											AJ310791			
Melodinus monogynus																		AF214380															AJ419748															
Thevetia ovata											JQ586581																						JQ590263															
Hoodia officinalis																		AJ488394																											AJ488801			
Tweedia brunonis																		AJ704258																						AJ704256								
Piaranthus barrydalensis																		AJ402130																											AJ402154			
Piaranthus decipiens																		AJ488446																											AJ488818			
Piaranthus geminatus									AF214249									AF214403																														
Piaranthus framesii																		AJ488448																											AJ488819			
Richtersveldia columnaris																		AJ402133																											AJ402157			
Marsdenia tomentosa																		AB178638																						AB178639								
Marsdenia rubicunda									AJ574840									AJ574839																														
Marsdenia engleriana											JQ586773																						JQ590536															
Marsdenia verrucosa									AJ431763									AJ431762																														
Marsdenia angolensis													HQ327689					HQ327495																														
Microplumeria anomala									AF214228									AF214382																														
Diplolepis geminiflora																		HQ207599																						AJ699332								
Diplolepis hieronymi																		HQ207583																						HQ207639								
Diplolepis menziesii																		HQ207602																						AJ699276								
Diplolepis biflora																		HQ207588																						HQ207628								
Diplolepis myrtifolia									HQ207617									HQ207596																														
Orthosia scoparia																		HE611730																						AJ704500								
Orthosia kunthii																		HE611720																						AJ699351								
Orthosia ellemannii																		AJ428780																						AJ699350								
Quaqua ramosa																		AJ488458																											AJ488822			
Quaqua inversa			AY790388															AY780509																														
Larryleachia perlata																		AJ402134																											AJ402158			
Minaria cordata																		AJ699299																						AJ699300								
Streptocaulon juventas																														DQ916865									DQ916906									
Ceropegia konasita																		AM491569																											AM493284			
Ceropegia foliosa																		AM491557																											AM493288			
Ceropegia maccannii																		EU120008																											EU106685			
Ceropegia racemosa																		AM490383																											AM493279			
Ceropegia sankuruensis																		AM490391																											AM493276			
Ceropegia arabica																		AM491534																											AM493301			
Ceropegia yemenensis																		AM490400																											AM493293			
Ceropegia denticulata																		AM491548																											AM493291			
Ceropegia crassifolia																		AM491539																											AM493303			
Ceropegia variegata																		AM490397																											AM493274			
Ceropegia cufodontii																		AM491542																											AM493304			
Ceropegia elegans																																	EU196262												EU106677			
Ceropegia gilgiana																		AM491560																											AM493287			
Ceropegia spiralis									EU127991									EU120021																														
Ceropegia sandersonii									AF214179									AF214333																														
Ceropegia humbertii																		AM491564																											AM493286			
Ceropegia ambovombensis																		AM491529																											AM493300			
Ceropegia filiformis																		AM491553																											AM493289			
Ceropegia robynsiana																		AM490385																											AM493278			
Ceropegia distincta																		AJ488346																											AJ488784			
Ceropegia saxatilis																		AJ410042																											AJ310786			
Ceropegia abyssinica																		AM491525																											AM493298			
Ceropegia rupicola																		AM490388																											AM493277			
Ceropegia simoneae																		AM490395																											AM493275			
Ceropegia nilotica																		AJ402141																											AJ402161			
Blepharodon harlingii																		AJ704308																						AJ704311								
Pachycarpus natalensis																		AM295616																											AM396849			
Amsonia orientalis									AF214262									AF214416																														
Eustegia minuta																		AJ410207															AM234833															
Ochrosia silvatica																														AB331878										AB364605								
Ochrosia vitiensis																														AB331869										AB364611								
Ochrosia sandwicensis																														AB331874										AB364607								
Ochrosia compta																														AB331873										AB364608								
Ochrosia mulsanti																														AB331877										AB364604								
Ochrosia kauaiensis																														AB331875										AB364609								
Tridentea longipes									AF214287									AF214441																														
Tridentea peculiaris			AJ519980															AJ519959																														
Tridentea virescens																		AJ488482																											AJ488830			
Ditassa lenheirensis																		DQ414739																											DQ414738			
Ditassa niruri																		AJ428752																						AJ699340								
Strempeliopsis strempelioides									AF214275									AF214429																														
Schistogyne pentaseta																		AJ704254																						AJ704255								
Schistogyne sylvestris																		AJ410246																						AJ699363								
Absolmsia spartioides													DQ334591					DQ334549																														
Forsteronia leptocarpa																		DQ916868												DQ916831																		
Forsteronia spicata											JQ586545																						JQ590223															
Cerberiopsis candelabra									AF214178									AF102395																														
Stemmadenia grandiflora											GQ982102																						GQ981884															
Alyxia lindii																		JF950898																						JF950818								
Alyxia buxifolia									AF214152									AF214306																														
Alyxia squamulosa																		JF950900																						JF950820								
Pachypodium inopinatum																		HQ847489														HQ847434																
Pachypodium rutenbergianum																		HQ847514														HQ847459																
Pachypodium horombense																		HQ847488														HQ847433																
Pachypodium windsorii																		HQ847519														HQ847464																
Pachypodium brevicaule																		HQ847471														HQ847415																
Pachypodium namaquanum																		HQ847502														HQ847447																
Pachypodium menabeum																		HQ847500														HQ847445																
Pachypodium bispinosum																		HQ847468														HQ847413																
Pachypodium decaryi																		HQ847474														HQ847418																
Pachypodium lealii																		HQ847497														JN256216																
Pachypodium succulentum																		HQ847517														HQ847462																
Pachypodium mikea																		HQ847501														HQ847446																
Pachypodium densiflorum																		HQ847481														HQ847427																
Pachypodium eburneum																		HQ847484														HQ847429																
Pachypodium sofiense																		HQ847516														HQ847461																
Pachypodium ambongense																		HQ847465														HQ847410																
Lavrania haagnerae																		AJ402143																											AJ402160			
Mandevilla villosa											JQ589817																						JQ594808															
Mandevilla sanderi																																	X91764									AJ420116						
Mandevilla harleyi	DQ522683										DQ522613																																					
Mandevilla rugellosa	DQ522699										DQ522629																																					
Cynanchum hardyi																		AJ492344																											AJ492759			
Cynanchum microphyllum																		AJ428683																						AJ699347								
Cynanchum verrucosum																		AJ290879																											AJ492806			
Cynanchum implicatum																		AJ428649																											AJ492760			
Cynanchum arenarium																		AJ428602																											AJ492740			
Cynanchum danguyanum																		AJ428623																											AJ492749			
Cynanchum marnieranum																		AJ492353																											AJ492769			
Cynanchum morrenioides																		AJ428685																						AJ699348								
Cynanchum beckii																		AJ704307																						AJ704304								
Cynanchum descoingsii																		AJ428626																											AJ492750			
Cynanchum radiatum																		AJ492362																											AJ492788			
Cynanchum itremense																		AJ492348																											AJ492761			
Cynanchum angavokeliense																		AJ428598																											AJ492733			
Cynanchum macranthum																		AJ492374																											AJ492804			
Cynanchum racemosum											JQ586765																						JQ590529															
Cynanchum papillatum																		AJ428704																											AJ492782			
Cynanchum sigridiae																		AJ492368																											AJ492798			
Cynanchum repandum																		AJ428728																											AJ492791			
Cynanchum erythranthum																		AJ428628																											AJ492751			
Cynanchum sessiliflorum																		AJ428743																											AJ492797			
Cynanchum crassipedicellatum																		AJ492329																											AJ492747			
Cynanchum moramangense																		AJ492357																											AJ492774			
Cynanchum appendiculatopsis																		AJ492323																											AJ492732			
Cynanchum pycnoneuroides																		AJ428719																											AJ492787			
Cynanchum obovatum																		AJ428802																											AJ492776			
Cynanchum comorense																		AJ428614																											AJ492744			
Cynanchum rossii																		AJ428731																											AJ492792			
Cynanchum stoloniferum									AF214265									AF214419																														
Cynanchum mevei																		AJ428676																											AJ492771			
Cynanchum madagascariense																		AJ428667																											AJ492767			
Cynanchum phillipsonianum																		AJ428710																											AJ492784			
Cynanchum toliari																		AJ428757																											AJ492802			
Cynanchum pachycladon																		AJ428701																											AJ492781			
Cynanchum ampanihense																		AJ428595																											AJ492739			
Cynanchum tarmense																		AJ428745																						AJ699349								
Cynanchum folotsioides																		AJ492335																											AJ492755			
Cynanchum messeri																		AJ428674																											AJ492770			
Cynanchum perrieri																		AJ428707																											AJ492783			
Cynanchum insigne																		AJ290906																											AJ492815			
Cynanchum mahafalense																		AJ428670																											AJ492768			
Cynanchum cucullatum																		AJ428620																											AJ492748			
Cynanchum mariense																		AJ428770																											AJ492805			
Cynanchum chouxii									AJ492327									AJ492326																														
Tromotriche ruschiana																		AJ488487																											AJ488832			
Tromotriche longipes																		AJ488485																											AJ488831			
Tromotriche longii			AY790372															AY780493																														
Allamanda blanchetii											KC110851																						JX683836															
Cibirhiza spiculata																		FM178487																											FM178489			
Boucerosia frerei																		AJ488325																											AJ488777			
Fockea cylindrica									AF214198									AF214352																														
Oncinema lineare																		AJ410231															AM234838															
Adenium multiflorum											JF270626																						JF265270															
Adenium swazicum											JF270627																						JF265271															
Pectinaria articulata																		AJ402131																											AJ402155			
Dregea volubilis																																	GQ436514														GQ434575	
Secamone urceolata											AY899956							DQ221201																														
Secamone humbertii											AY899952							DQ221196																														
Secamone tenuifolia											AY899955							DQ221200																														
Secamone ecoronata											AJ312407							DQ221191																														
Secamone castanea											AY899948							DQ221188																														
Secamone cristata											AJ312400							DQ221190																														
Secamone grandiflora											AY899951							DQ221195																														
Secamone elliottii											AJ312402							DQ221150																														
Secamone uncinata											AJ312403							DQ221160																														
Secamone ligustrifolia											AY899953							DQ221197																														
Secamone afzelii																																	X91779									AJ420124						
Secamone volubilis											Z98186							DQ221203																														
Secamone falcata											AJ312404							DQ221151																														
Secamone minutifolia											AJ312406							DQ221156																														
Secamone bosseri											Z98182							DQ221144																														
Secamone cloiselii											AY899949							DQ221189																														
Secamone alpinii																		AJ428829																						AJ699320								
Secamone sparsiflora											AJ312401							DQ221157																														
Secamone buxifolia											AJ312405							DQ221145																														
Landolphia incerta									AF214218									AF214372																														
Philibertia globiflora																		AJ704234																						AJ704238								
Philibertia fontellae																		AJ492154																						AJ699358								
Philibertia peduncularis																		AJ704250																						AJ704247								
Philibertia multiflora																		AJ704243																						AJ704246								
Philibertia gilliesii																		AJ290895																						AJ699359								
Philibertia parviflora																		AJ410224																						AJ699361								
Philibertia boliviana																		AJ704233																						AJ704230								
Philibertia picta																		AJ290904																						AJ699362								
Philibertia candolleana																		AJ410177																						AJ699357								
Philibertia latiflora																		AJ704242																						AJ704239								
Heterostemma acuminatum																		AJ574826															JQ933361															
Heterostemma herbertii									AJ574831									AJ574830																														
Asclepias pringlei														GQ304344										GQ281195																								
Gymnema inodorum									AJ431751									AJ431750																														
Schubertia grandiflora																		AJ428826																						AJ699364								
Strophanthus kombe											JF270949																						JF265607															
Strophanthus petersianus											JF270950																						JF265608															
Strophanthus divaricatus											Z70186																						EU916730															
Strophanthus eminii																																	X91771		AJ420127													
Strophanthus gratus									AF214276									AF214430																														
Pentacyphus lehmannii																		AJ290889																						AJ704928								
Pentacyphus andinus																		AJ492150																						AJ699335								
Tabernaemontana floribunda									AF214197									AF214351																														
Rauvolfia beddomei																						HQ638227	HQ638304																									
Rauvolfia leptophylla																						HQ638243	HQ638320																									
Rauvolfia aphlebia																						HQ638224	HQ638301																									
Rauvolfia biauriculata																						HQ638228	HQ638305																									
Rauvolfia volkensii																						HQ638291	HQ638369																									
Rauvolfia semperflorens																						HQ638270	HQ638347																									
Rauvolfia nana																						HQ638275	HQ638337																									
Rauvolfia media																						HQ638257	HQ638331																									
Rauvolfia mattfeldiana																						HQ638254	HQ638329																									
Rauvolfia grandiflora																						HQ638241	HQ638318																									
Rauvolfia mombasiana																						HQ638258	HQ638336																									
Rauvolfia sessilifolia																						HQ638271	HQ638353																									
Rauvolfia purpurascens																						HQ638267	HQ638344																									
Rauvolfia andina																						HQ638223	HQ638299																									
Rauvolfia polyphylla																						HQ638264	HQ638342																									
Rauvolfia bahiensis																						HQ638225	HQ638303																									
Rauvolfia nitida																						HQ638260	HQ638338																									
Rauvolfia weddelliana																						HQ638297	HQ638373																									
Rauvolfia madurensis																						HQ638253	HQ638325																									
Rauvolfia gracilis																						HQ638235	HQ638315																									
Rauvolfia capixabae																						HQ638232	HQ638309																									
Rauvolfia sandwicensis																						HQ638268	HQ638345																									
Rauvolfia capuroni																						HQ638233	HQ638310																									
Rauvolfia obtusiflora																						HQ638262	HQ638340																									
Rauvolfia praecox																						HQ638266	HQ638343																									
Rauvolfia spectabilis																						HQ638272	HQ638355																									
Rauvolfia balansae									AF214259									AF214413																														
Rauvolfia sprucei																						HQ638294	HQ638357																									
Rauvolfia viridis																						HQ638290	HQ638368																									
Rauvolfia letouzeyi																						HQ638245	HQ638321																									
Rauvolfia paraensis																						HQ638263	HQ638341																									
Rauvolfia mollis																						HQ638246	HQ638333																									
Himatanthus tarapotensis									AF214211									AF214365																														
Aganonerion polymorphum																		JX003608																						JX003607								
Stapelia schinzii									AF214273									AF214427																														
Stapelia rufa																		AJ488465																											AJ488825			
Stapelia peglerae									AF214271									AF102483																														
Stapelia glanduliflora																		AJ402127																											AJ402152			
Stapelia gigantea											JQ025000																						JQ025094															
Rhyncharrhena linearis																		HE793757																			HE793786											
Baissea zygodioides											DQ221120							DQ221168																														
Huernia kennedyana																		AJ488400																											AJ488803			
Huernia erectiloba			AY790373															AY780494																														
Leptadenia arborea																		AJ574833																											AM493305			
Hoya dennisii																	HQ327622																												HQ327524			
Hoya cagayanensis																	HQ327681																												HQ327525			
Hoya thomsonii																	HQ327625																												HQ327502			
Hoya linearis																	HQ327659																												HQ327517			
Hoya odorata																	HQ327634																												HQ327504			
Hoya dimorpha																	HQ327645																												HQ327512			
Hoya vitiensis																	HQ327630																												HQ327503			
Hoya cominsii																	HQ327656																												HQ327515			
Hoya diptera																	HQ327662																												HQ327519			
Hoya polyneura																	HQ327640																												HQ327509			
Hoya waymaniae																	HQ327675																												HQ327522			
Hoya vitellina																	HQ327639																												HQ327508			
Hoya spartioides																	HQ327619																												DQ334484			
Hoya vitellinoides																										AF506176																			HQ327528			
Hoya leucorhoda																	HQ327650									AF506164																						
Hoya obscura																	HQ327676																												HQ327523			
Hoya bordenii																	HQ327686																												HQ327527			
Hoya praetorii																	HQ327664																												HQ327520			
Hoya citrina																	HQ327638																												HQ327507			
Hoya wallichii																	HQ327649																												HQ327514			
Hoya archboldiana																	HQ327646																												HQ327513			
Hoya erythrostemma																	HQ327643																												HQ327511			
Riocreuxia burchelli																		AJ488306																											AJ488771			
Riocreuxia flanaganii			AJ519978															AJ519957																														
Anechites nerium																		AM295087															AJ419733															
Ophionella willowmorensis			AY790375															AY780496																														
Pervillaea phillipsonii											AJ312408							DQ221182																														
Pervillaea decaryi											AY899946							DQ221179																														
Pervillaea venenata											Z98181							DQ221138																														
Periploca visciformis																		AJ431736												AJ581683																		
Periploca calophylla																		DQ916880												DQ916856																		
Macropharynx renteriae											JQ586548																						JQ590226															
Neisosperma glomeratum																														AB331863										AB364612								
Neisosperma brevitubum						EU069543																								AB331880																		
Neisosperma thiollierei																														AB331882										AB364622								
Neisosperma acuminatum																														AB331865										AB364618								
Neisosperma kilneri																														AB331868										AB364620								
Neisosperma mianum																														AB331881										AB364621								
Pentopetia longipetala																		DQ916879												DQ916855																		
Pentopetia lutea									DQ221178									DQ221136																														
Tassadia guianensis																		AJ699280																						AJ699277								
Tassadia obovata																		AJ699281																						AJ699284								
Secamonopsis madagascariensis											Z98185							DQ221205																														
Secamonopsis microphylla											AJ312409							DQ221204																														
Raphionacme angolensis																		AJ431772												AJ581685																		
Raphionacme madiensis																		AJ581826												AJ581690																		
Raphionacme dyeri																		AJ581812												AJ581686																		
Raphionacme elata																		AJ581814												AJ581687																		
Raphionacme hirsuta																		AJ581824												AJ581689																		
Raphionacme grandiflora																		AJ581820												AJ581680																		
Raphionacme welwitschii											Z98179							DQ221184																														
Morrenia odorata																		AJ704344																						AJ704342								
Schizostephanus gossweileri																		GQ118161																											GQ118160			
Carissa tetramera											JF270681																						JF265328															
Carissa edulis											JF270680																						JF265327															
Gonioanthela hilariana																		AY163688																						AJ704488								
Funastrum arenarium																		AJ290858																						AJ699354								
Funastrum angustifolium																		AJ428761																						AJ699353								
Funastrum odoratum																		AJ290869																						AJ699356								
Prestonia mollis									AF214256									AF214410																														
Vincetoxicum versicolor																		HE793782																			HE793812											
Vincetoxicum creticum																		HE793774																			HE793803											
Vincetoxicum forrestii																		HE793775																			HE793804											
Vincetoxicum sublanceolatum																																				AB110060									AB109998			
Vincetoxicum chekiangense																		HE793773																			HE793802											
Vincetoxicum glaucescens																		HE793776																			HE793805											
Vincetoxicum ovatum																		HE793778																			HE793807											
Wrightia tomentosa									AF214299									AF214453																														
Wrightia natalensis											JF270995																						JF265654															
Kibatalia gitingensis											AM295069																						AJ419745															
Alstonia boonei									AF214151									AF102374																														
Alstonia venenata									JF437609									KC244732																														
Alstonia macrophylla											GU135061																						GU135289															
Conomitra linearis									AJ574824									AJ574825																														
Tonduzia stenophylla									AF214284									AF214438																														
Lacmellea panamensis											GQ982028																						GQ981782															
