Cyclamen graecum								AJ236993																																					AF164003	
Samolus latifolius								HQ284064																																					HQ284116	
Maesa lanceolata						JF270859																	JF265513																							
Dionysia saponacea					AY680778			AY680821																																						
Dionysia iranshahrii								AY680822																																					AY680735	
Dionysia balsamea								AY680796																																					AY680709	
Androsace mariae								AY545767																																					AY545737	
Androsace villosa								AY274944																																					AY275084	
Androsace maxima								AY274958																																					AY275100	
Androsace occidentalis								EU655584																																					EU655563	
Androsace henryi								AY545771																																					AY545748	
Androsace axillaris								AY274949																																					AY275103	
Androsace limprichtii								AY545779																																					AY545756	
Androsace strigillosa								AY274956																																					AY275092	
Androsace raddeana								AY274960																																					AY275073	
Androsace delavayi								AY274950																																					AY275101	
Androsace rigida								AY274951																																					AY275094	
Androsace integra								AY274953																																					AY275098	
Androsace wardii								AY545773																																					AY545749	
Androsace filiformis								AY274955																																					AY275079	
Androsace elongata								AY275014																																					AY275072	
Androsace bisulca								AY545763																																					AY545734	
Androsace pubescens								AY274979																																					AY275064	
Androsace triflora								AY274992																																					AY275020	
Androsace squarrosula								AY545770																																					AY275102	
Androsace yargongensis								AY545781																																					AY545743	
Androsace hookeriana								AY274954																																					AY275096	
Androsace zambalensis								AY545769																																					AY275091	
Androsace barbulata								AY274945																																					AY275082	
Androsace mathildae								EU655599																																					EU655580	
Androsace stenophylla								AY274952																																					AY275085	
Androsace albana								EU655583																																					EU655562	
Heberdenia excelsa										AJ491424																																			AJ491668	
Parathesis glabra						JQ588478																	JQ592936																							
Primula taliensis								AF402390																									AF402510													
Primula longipes						HQ535973																																							EU643662	
Primula rubifolia					FJ786580			FJ794211																																						
Primula wilsonii								AF402398																									AF402518													
Primula takedana								AF402423																									AF402543													
Primula davisii								AY680797																																					EU643664	
Primula pauciflora								AF402419																									AF402539													
Primula inayatii																								HM748213													HM748214									
Primula intricata								JX231094																																					JX231019	
Primula boothii								AF402391																									DQ378475													
Primula kitaibeliana								AY274942																																					AY275015	
Primula jesoana																							AF394966																						AM920486	
Primula minutissima								AF402355																									AF402473													
Primula petiolaris								AF402392																									AF402512													
Primula elongata								AF402404																									AF402524													
Primula yuparensis								AF402362																									AF402480													
Myrsine faberi								AF547797																																					AF547731	
Myrsine australis																																											EU886853		EU886866	
Myrsine retusa						HM850887																	HM850193																							
Myrsine chathamica																																											EU886854		EU886867	
Myrsine umbricola																																											EU886862		EU886878	
Myrsine divaricata																																											EU886857		EU886873	
Myrsine aquilonia																																											EU886851		EU886864	
Myrsine coriacea						JQ588473																	JQ592927																							
Myrsine nummularia																																											EU886859		EU886875	
Myrsine argentea																																											EU886852		EU886865	
Myrsine salicina																																											EU886861		EU886877	
Myrsine oliveri																																											EU886860		EU886876	
Myrsine coxii																																											EU886856		EU886868	
Myrsine kermadecensis																																											EU886858		EU886874	
Rapanea linearis								FJ482167																																					FJ482149	
Rapanea melanophloeos						JQ024989																	JQ025081																							
Votschia nemophila								AY228627																																AY228599						
Pelletiera wildpretii								AY855125																																AY839966						
Douglasia gormanii								AY275000																																					AY275017	
Douglasia ochotensis								AY274997																																					AY275019	
Douglasia arctica								AY274998																																					AY275016	
Douglasia idahoensis								AY275001																																					AY275025	
Douglasia laevigata								AY274994																																					AY275031	
Lysimachia perfoliata								AF547755																																					AF547701	
Lysimachia japonica																																								AY839986					AF547687	
Lysimachia pseudohenryi								AF547752																																					AF547698	
Lysimachia circaeoides								AF547799																																					AF547689	
Lysimachia davurica								AF547761																																					AF547706	
Lysimachia atropurpurea																							AF213808																	AY839954						
Lysimachia nigropunctata																																								AY839961					AB496972	
Lysimachia glanduliflora								AF547754																																					AF547700	
Lysimachia chenopodioides								AF547775																																					AF547740	
Lysimachia quadrifolia								AF547779																																					AF547734	
Lysimachia taliensis								AF547743																																					AF547686	
Lysimachia deltoidea								AF547777																																					AF547719	
Lysimachia serpyllifolia								AY855129																																AY839993						
Lysimachia engleri								AF547773																																					AF547724	
Bonellia macrocarpa								AY228622																																AY228583						
Bonellia longifolia								AY228617																																AY228589						
Bonellia shaferi								AY228621																																AY228582						
Bonellia pauciflora								AY228612																																AY228597						
Bonellia paludicola								AY228616																																AY228598						
Bonellia flammea								AY228613																																AY228588						
Clavija venosa								AY228610																																AY228585						
Clavija integrifolia																																								AJ236275	AJ235998					
Clavija clavata								AY228606																																AY228594						
Clavija ornata								AY228605																																AY228586						
Clavija spinosa								AF402450																									AF402569													
Badula grammisticta																																		HE599738											HE590632	
Badula multiflora																																		HE599745											HE590637	
Badula barthesia																																		HE599714											HE590607	
Badula insularis																																		HE599742											HE590635	
Badula decumbens																																		HE599729											HE590623	
Badula balfouriana																																		HE599704											HE590600	
Badula ovalifolia																																		HE599751											HE590646	
Badula fragilis																																		HE599732											HE590628	
Badula crassa																																		HE599726											HE590621	
Badula nitida																																		HE599746											HE590642	
Badula sieberi																																		HE599761											HE590657	
Badula platyphylla																																		HE599756											HE590648	
Badula reticulata																																		HE599760											HE590653	
Neomezia cubensis								AY228601																																AY228593						
Pleiomeris canariensis										AJ491423																																			AJ491667	
Jacquinia arborea								AY228619																																AY228587						
Jacquinia berteroi								AY228625																																AY228591						
Jacquinia roigii								AY228618																																AY228578						
Ardisia auriculata						JQ588449																	JQ592898																							
Ardisia revoluta						JQ588470																	JQ592919																							
Ardisia affinis								FJ482166																																					FJ482148	
Ardisia brevicaulis								FJ482159																																					FJ482141	
Ardisia bartlettii						GQ981938																	GQ981669																							
Ardisia maculosa																									JN253176																				JN253020	
Ardisia glauca						HM446657																	HM446759																							
Ardisia speciosa								AF402448																									AF402567													
Ardisia villosa								FJ482168																																					FJ482150	
Ardisia standleyana						GQ981940																	GQ981671																							
Ardisia ensifolia																									JN253177																				JN253021	
Hymenandra calycosa						JQ588457																	JQ592908																							
Oncostemum acuminatum																																		HE599765											HE590659	
Oncostemum elephantipes																																		HE599773											HE590667	
Oncostemum evonymoides																																		HE599779											HE590673	
Oncostemum gracile																																		HE599777											HE590671	
Oncostemum nervosum																																		HE599783											HE590677	
Oncostemum palmiforme																																		HE599774											HE590668	
Oncostemum pachybotrys																																		HE599766											HE590660	
Oncostemum denticulatum																																		HE599771											HE590665	
Oncostemum ovatoacuminatum																																		HE599776											HE590669	
Oncostemum ankifiense																																		HE599768											HE590662	
Oncostemum forsythii																																		HE599782											HE590674	
Oncostemum seyrigii																																		HE599772											HE590666	
Stylogyne turbacensis						GQ982104																	GQ981886																							
Cyclamen pseudibericum					AM990509			AM990535																																					AF164007	
Cyclamen somalense								DQ384936																									DQ384934												DQ384932	
Cyclamen alpinum					AM990513			AM990539																																					AM990485	
Cyclamen mirabile					AM990503			AJ236998																																					AF164006	
Cyclamen balearicum					AM990491			AM990517																																					AF164000	
Cyclamen intaminatum					AM990501			AJ236996																																					AF164010	
Cyclamen parviflorum					AM990504			AJ236999																																					AM990480	
Cyclamen rohlfsianum					AM990512			AM990538																																					AF164009	
Cyclamen africanum					AM990490			AM990516																																					AF163999	
Cyclamen libanoticum					AM990502			AJ236997																																					AF164005	
Cyclamen coum					AM990494			AM990520																																					AF164001	
Cyclamen cyprium					AM990496			AJ236991																																					AF164002	
Cyclamen cilicium					AM990492			AJ236985																																					AM990474	
Cyclamen creticum					AM990495			AM990521																																					AF164013	
Samolus dichondrifolius					HQ284095			HQ284068																																					HQ284124	
Samolus parviflorus					HQ284083			HQ284053																																					HQ284123	
Samolus cinerascens					HQ284100			HQ284073																																					HQ284129	
Samolus spathulatus					HQ284094			HQ284065																																					HQ284113	
Samolus vagans					HQ284081			HQ284051																																					HQ284130	
Samolus eremaeus					HQ284084			HQ284054																																					HQ284103	
Samolus porosus					HQ284085			HQ284056																																					HQ284105	
Maesa salicifolia				HQ415424		HQ415257																	HQ415072																							
Dionysia termeana					AY680790			AY680834																																					AY680747	
Dionysia lindbergii					AY680791			AY680835																																					AY680748	
Dionysia freitagii					AY680772			AY680815																																					AY680729	
Dionysia archibaldii					AY680780			AY680824																																					AY680737	
Dionysia michauxii					AY680757			AY680801																																					AY680714	
Dionysia denticulata					AY680764			AY680808																																					AY680721	
Dionysia viscidula					AY680765			AY680809																																					AY680722	
Dionysia curviflora					AY680782			AY680826																																					AY680739	
Dionysia lamingtonii					AY680786			AY680830																																					AY680743	
Dionysia odora					AY680762			AY680806																																					AY680719	
Dionysia khuzistanica					AY680770			AY680813																																					AY680727	
Dionysia rhaptodes					AY680788			AY680832																																					AY680745	
Dionysia mozaffarianii					AY680759			AY680803																																					AY680716	
Dionysia caespitosa					AY680781			AY680825																																					AY680738	
Dionysia iranica					AY680784			AY680828																																					AY680741	
Dionysia khatamii					AY680785			AY680829																																					AY680742	
Dionysia bryoides					AY680771			AY680814																																					AY680728	
Dionysia haussknechtii					AY680763			AY680807																																					AY680720	
Dionysia oreodoxa					AY680787			AY680831																																					AY680744	
Dionysia gaubae					AY680783			AY680827																																					AY680740	
Dionysia teucrioides					AY680777			AY680820																																					AY680734	
Dionysia sarvestanica					AY680758			AY680802																																					AY680715	
Androsace alpina								AY274975			AJ491444																																		AY275052	
Androsace sublanata					FJ786608	FJ828637		FJ794240																																						
Primula grandis																								HM628935													HM629005								HM629090	
Primula duclouxii				JN046513		JF955701																	JF943639																							
Primula renifolia																								HM628943													HM629013								HM629171	
Primula barbicalyx					FJ786619	FJ828647		FJ794251																																						
Primula auricula																															JQ755618					JQ755533									AM920498	
Primula efarinosa					FJ786585	FJ828616		FJ794216																																						
Primula virginis				JN046596		JF955789																	JF943724																							
Primula caldaria					FJ786558	FJ828592		FJ794189																																						
Primula calyptrata					FJ786618	FJ828646		FJ794250																																						
Primula sorachiana			AB003580					D85700																														AB003573								
Primula veitchiana	AF213788																						AF213802																	AF213759						
Primula pseudodenticulata					FJ786556	FJ828590		FJ794187																																						
Primula hidakana								AF402424															AF394998										AF402544													
Primula sertulum					FJ786572	FJ828604		FJ794203																																						
Primula celsiiformis					FJ786600	FJ828629		FJ794232																																						
Primula florindae								AF402379																									AF402499												AF396691	
Primula saturata					FJ786623	FJ828650		FJ794256																																						
Primula sinomollis					FJ786605	FJ828634		FJ794237																																						
Primula cusickiana																														JQ755569	JQ755612					JQ755527										
Pelletiera verna								AY855126																																AY839990					AY855155	
Douglasia montana								AY275002			AJ491446																																		AY275024	
Lysimachia minoricensis	AF213778																						AF213809																	AF213749						
Lysimachia pentapetala						JF954523																	JF942437																						JN638407	
Lysimachia erosipetala						JF954464																	JF942378																						JF976915	
Lysimachia chapaensis						JF954436																	JF942350																						JF976889	
Lysimachia lancifolia								AF547772																																AY840006					AF547717	
Lysimachia hemsleyi						JF954485																	JF942402																						JF976933	
Lysimachia gesnerioides						JF954476																	JF942390																						JF976926	
Lysimachia dextrorsiflora						JF954462																	JF942375																						JF976913	
Lysimachia nutantiflora								AF547765																																AY840011					AF547710	
Lysimachia klattiana						JF954501																	JF942415																						JF976947	
Lysimachia confertifolia								AF547770																																AY840012					AF547715	
Lysimachia petelotii								AF547768																																AY839998					AF547713	
Lysimachia chekiangensis						JF954438																	JF942352																						JF976891	
Lysimachia azorica						HM850733																	HM850151																						AF164017	
Lysimachia microcarpa								AF547774																																AY840013					AF547732	
Lysimachia patungensis						JF954521																	JF942435																						JF976967	
Lysimachia punctata								AF547780																																AY839987					AF547718	
Lysimachia hemsleyana						JF954484																	JF942398																						JF976932	
Lysimachia vittiformis								AF547766																																AY840003					AF547711	
Lysimachia heterobotrys						JF954490																	JF942404																						JF976937	
Lysimachia alpestris								AF547742																																AY839997					AF547685	
Bonellia umbellata								AY228611															Z80206																	AF207962						
Bonellia frutescens								AY228615															AF213816																	AY228592						
Bonellia stenophylla								AY228620															AF213815																	AY228580						
Clavija lancifolia					JF275973																					JF275971																		AY727962		
Clavija euerganea	AF213771							AY228609																																AF213737						
Jacquinia aculeata					HQ284074			AY228623																																					HQ284102	
Ardisia elegans						JN253049																			JN253153																				JN252996	
Ardisia fordii						JN253053																			JN253158																				JN253002	
Ardisia chinensis						JN253022																			JN253124																				JN252968	
Ardisia involucrata						JF416273		JF416266																																					JF416246	
Ardisia dasyrhizomatica						JN253023																			JN253126																				JN252970	
Ardisia verbascifolia						JN638409																	JN638410																						JN638408	
Ardisia paniculata					JF416256	JF416270		JF416267																																						
Ardisia argenticaulis						JN253066																			JN253172																				JN253016	
Ardisia ordinata						JN253060																			JN253165																				JN253009	
Ardisia corymbifera						JN253068																			JN253174																				JN253018	
Ardisia curvula						JN253028																			JN253131																				JN252975	
Coris monspeliensis	AF213770							AM990514															U96660																	AF213738						
Cyclamen colchicum					AM990493			AJ236986																				JF505199																	AM990475	
Maesa myrsinoides	AJ235525													EU264330									Z80203																					AF479152		
Dionysia janthina					AY680754			AY680798															AF395007																						AY680711	
Dionysia involucrata					AY680750			AY680793															AF394991																						AY680705	
Dionysia esfandiarii					AY680755			AY680799															AY753634																						AY680712	
Dionysia mira					AY680776			AY680819															AY753638																						AY680733	
Dionysia lurorum					AY680761			AY680805															AY753637																						AY680718	
Dionysia leucotricha					AY680760			AY680804															AY753636																						AY680717	
Dionysia paradoxa					AY680767			AY680811															AY753633																						AY680724	
Dionysia diapensiifolia					AY680756			AY680800															AY753635																						AY680713	
Dionysia microphylla					AY680751			AY680794															AF394993																						AY680706	
Androsace erecta								AY545780															AF395004																	AF421115					AY275097	
Androsace sempervivoides						AY647535		AF402436																									AF402555						DQ378837							
Androsace halleri								EU655589							EF152464							EF152451																							EU655566	
Androsace pyrenaica								AY274977							EF152472							EF152458																							AY275035	
Androsace rioxana								AY275004							EF152470							EF152457																							AY275045	
Androsace vitaliana															FJ692472							FJ606071																				FJ605855			EU109182	
Androsace laggeri								EU655590							EF152469							EF152453																							AY275036	
Primula florida						DQ378302		DQ378526																									DQ378437						DQ378707							
Primula waltonii						DQ378359		AF402380																									AF402500						DQ378764							
Primula merrilliana					FJ786565	FJ828589		FJ794196																																					HQ199868	
Primula hongshanensis						DQ378391		DQ378581																									DQ378492						DQ378796							
Primula aureata						DQ378375		DQ378567																									DQ378478						DQ378780							
Primula glomerata						DQ378324		DQ378540																									DQ378451						DQ378729							
Primula muscoides						DQ378337		DQ378550																									DQ378461						DQ378742							
Primula pumilio						DQ378327		AF402373																									AF402493						DQ378732							
Primula apennina																														JQ755575	JQ755619					JQ755534									AJ427754	
Primula advena						DQ378396		AF402405																									AF402525						DQ378801							
Primula wulfeniana																														JQ755571	JQ755614					JQ755529									AJ427799	
Primula spicata				JN046591		JF955783																	JF943717																						JF978061	
Primula mollis						DQ378419		AF402427																									DQ378510						DQ378824							
Primula tardiflora				JN046595		JF955787																	JF943722																						JF978064	
Primula tyrolensis																														JQ755572	JQ755615					JQ755530									AJ427795	
Primula tenuiloba						DQ378338		DQ378551																									DQ378462						DQ378743							
Primula deuteronana						DQ378372		DQ378566																									DQ378477						DQ378777							
Primula reptans						DQ378336		AF402376																									AF402496						DQ378741							
Primula prenantha						DQ378383		AF402399																									AF402519						DQ378788							
Primula prolifera						DQ378384		AF402401																									DQ378485						DQ378789							
Primula reidii						DQ378320		AF402349																									AF402467						DQ378725							
Primula agleniana				JN046458		JF955648																	JF943586																						JF977930	
Primula flaccida						DQ378318		AF402347																									AF402465						DQ378723							
Primula tosaensis						DQ378411		DQ378593																									DQ378504						DQ378816							
Primula daonensis																														JQ755577	JQ755621					JQ755536									AJ427772	
Primula clarkei						DQ378307		AF402342																									AF402460						DQ378712							
Primula glaucescens																														JQ755582	JQ755626					JQ755541									AJ427774	
Primula rotundifolia						DQ378402		AF402407																									DQ378500						DQ378807							
Primula melanops				JN046534		JF955725																	JF943662																						JF978005	
Primula asarifolia						DQ378405		DQ378591																									DQ378502						DQ378810							
Primula cachemiriana						DQ378325		DQ378541																									DQ378452						DQ378730							
Primula elliptica						DQ378306		AF402341																									AF402459						DQ378711							
Primula stuartii						DQ378392		DQ378582																									DQ378493						DQ378797							
Primula munroi				JN046546		JF955736																	JF943671																						JF978014	
Primula rupestris					FJ786566	FJ828585		FJ794197																																					AF323697	
Primula filchnerae					FJ786554	FJ828588		FJ794185																																					AF323702	
Primula cernua						DQ378317		DQ378535																									DQ378446						DQ378722							
Primula luteola						DQ378309		AF402343																									AF402461						DQ378714							
Primula glabra						DQ378331		DQ378546																									DQ378457						DQ378736							
Primula szechuanica				JN046593		JF955785																	JF943720																						JF978063	
Primula cottia																														JQ755576	JQ755620					JQ755535									AJ427796	
Primula soongii						DQ378393		DQ378583																									DQ378494						DQ378798							
Primula odontocalyx						DQ378368		DQ378562																									DQ378473						DQ378773							
Primula villosa																														JQ755573	JQ755616					JQ755531									AJ427797	
Primula minor						DQ378394		DQ378584																									DQ378495						DQ378799							
Primula pedemontana																														JQ755578	JQ755622					JQ755537									AJ427791	
Primula allionii																														JQ755606	JQ755652					JQ755565									JQ755782	
Primula diantha				JN046510		JF955698																	JF943635																						JF977981	
Primula latifolia																														JQ755608	JQ755655					JQ755561									JQ755722	
Primula bracteata						DQ378409		AF402429																									AF402548						DQ378814							
Primula aliciae						DQ378303		DQ378527																									DQ378438						DQ378708							
Primula wigramiana						DQ378321		DQ378538																									DQ378449						DQ378726							
Primula epilosa				JN046514		JF955703																	JF943642																						JF977985	
Primula leucophylla								JX231096																									JX231063		JX231042										JX231021	
Primula petelotii						DQ378369		DQ378563																									DQ378474						DQ378774							
Primula firmipes						DQ378360		AF402382																									AF402502						DQ378765							
Primula kialensis				JN046529		JF955717																	JF943655																						JF977999	
Primula fedtschenkoi						DQ378399		AF402406																									AF402526						DQ378804							
Primula oreodoxa				JN046551		JF955741																	JF943678																						JF978021	
Primula exscapa						DQ378367		DQ378561																									DQ378472						DQ378772							
Primula stirtoniana						DQ378334		DQ378548																									DQ378459						DQ378739							
Primula littledalei						DQ378401		DQ378588																									DQ378499						DQ378806							
Primula spectabilis																														JQ755574	JQ755617					JQ755532									AJ427794	
Primula bracteosa						DQ378371		DQ378565																									DQ378476						DQ378776							
Primula baldshuanica						DQ378342		DQ378553																									DQ378464						DQ378747							
Primula orbicularis						DQ378388		DQ378578																									DQ378489						DQ378793							
Primula erratica						DQ378322		AF402353																									AF402471						DQ378727							
Primula prattii				JN046563		JF955753																	JF943690																						JF978032	
Myrsine seguinii					AB178628	HQ415303		AB178629															HQ415125																							
Omphalogramma forrestii						JF954767																	JF942673				JN045613																		JF977187	
Omphalogramma elegans						JF954761																	JF942668				JN045606																		JF977182	
Omphalogramma minus						JF954772																	JF942677				JN045614																		JF977192	
Omphalogramma tibeticum						JF954781																	JF942687				JN045627																		JF977199	
Douglasia beringensis						AY647536		AY274999																									AF402557												AY275018	
Lysimachia crispidens						JF954455		AF547751															JF942369																						JF976905	
Lysimachia decurrens						JF954457		AF547759															JF942371																						JF976907	
Lysimachia pendens												GQ258004	GQ258026																													GQ257931			GQ258048	
Lysimachia fortunei						JF954475		AF547763															JF942389																						JF976924	
Lysimachia alfredii						JF954430																	JF942344																	AY839984					JN638405	
Lysimachia ephemerum								AF547798															AF213807																	AY839976					AF547720	
Lysimachia longipes						JF954506		AF547757															JF942422																						JF976952	
Lysimachia omeiensis						JF954512		AF547800															JF942426																						JF976958	
Lysimachia heterogenea						JF954493		AF547753															JF942407																						JF976938	
Lysimachia capillipes						JF954434																	JF942348																	AY839999					JF976886	
Bonellia nervosa						JQ588859		AY228614															JQ593549																	AY228590						
Clavija costaricana					HQ284075	JQ588866																	JQ593554																						HQ284101	
Jacquinia keyensis	AF213780							AY228624															AF213817																	AF213746						
Ardisia solanacea					JF416255	JF416278		JF416265																																					JF416245	
Ardisia hanceana						JN253064																			JN253170							JN253014													JN645189	
Ardisia lindleyana						JN253059																			JN253164							JN253008													JN645193	
Cyclamen purpurascens					AM990510			AJ237003																				JF505196					AF402564												AF164008	
Samolus junceus					HQ284087			AY228603																					HQ284144											AY228579					HQ284107	
Hottonia inflata						DQ378428		DQ378609															AY753596										DQ378520						DQ378836							
Stimpsonia chamaedryoides	AF421112									AJ491425													AF421117																	AF421113					AJ491669	
Dionysia tapetodes						DQ378300		AF402338															AF394992										AF402456						DQ378705							
Androsace brevis								AY274964							EF512093							EF512032																				EF512060			EU655573	
Androsace chaixii								AY275003							EF587892							EU513021																				EF587876			AY275044	
Androsace helvetica								AY274981			AJ491445				EU117145							EU117143																							AY275065	
Androsace cantabrica								AY275011							EF587890							EU513014																				EF587874			AY275038	
Androsace obtusifolia								AY274971							EF587897							EF587865																				EF587881			EU655574	
Androsace vandellii								AY274967							EF587898							EF587866																				EF587882			AY275059	
Androsace ciliata								AY274982							EF587893							EF587862																				EF587877			AY275034	
Androsace wulfeniana								AY274962							EF512092							EF512033																				EF512061			EU655572	
Androsace hedraeantha								AY275010							EF587896							EF189905																				EF587880			AY275046	
Androsace septentrionalis						JN966080		AY274959															AF394963																	AF421116					AY275074	
Androsace hausmannii								AY274984							EF587895							EF587863																				EF587879			AY275056	
Trientalis europaea	AF213790							AY855130															U96655																	AF213763					AF547727	
Primula serrata						DQ378343		DQ378554																									DQ378465						DQ378748						AM920469	
Primula valentinae						DQ378330		DQ378545																									DQ378456						DQ378735						AM920475	
Primula primulina					FJ786613	DQ378335		FJ794245																									DQ378460						DQ378740							
Primula tschuktschorum						DQ378395		AF402403																									AF402523						DQ378800						AM920495	
Primula pinnatifida					FJ786570	DQ378316		FJ794201																									DQ378445						DQ378721							
Primula latisecta					FJ786576	FJ828608		FJ794207																									DQ378509						DQ378821							
Primula watsonii					FJ786584	FJ828615		FJ794215																									DQ378443						DQ378719							
Primula caveana					FJ786612	FJ828640		FJ794244																									DQ378498						DQ378805							
Primula muscarioides						DQ378311		DQ378530															AF394970										AF402463						DQ378716							
Primula sinolisteri					FJ786606	DQ378404		FJ794238																									DQ378501						DQ378809							
Primula vialii						DQ378313		AF402348										AY234127															AF402466						DQ378718							
Primula maximowiczii						DQ378398		DQ378586																									DQ378497						DQ378803						AM920497	
Primula simensis						DQ378295		DQ378521																									DQ378432						DQ378700						AJ491676	
Primula geraniifolia					FJ786610	FJ828638		FJ794242																									AF402546						DQ378822							
Primula reticulata						DQ378358		DQ378559																									DQ378470						DQ378763						AF396694	
Primula warshenewskiana						DQ378308		DQ378529																									DQ378440						DQ378713						AM920477	
Bryocarpum himalaicum						DQ378424		DQ378605	AJ491428																								DQ378516												AJ491672	
Douglasia nivalis	AF213766							AY274991															AF213796																	AF213742					AY275028	
Lysimachia grammica						JF954479		AF547746															JF942393																	AY840010					AF547691	
Lysimachia candida						JF954432		AF547745															JF942346																	AY839973					JF976884	
Lysimachia paridiformis						JF954515		AF547747															JF942430																	AY839995					JF976959	
Lysimachia rubiginosa						JF954530		AF547750															JF942444																	AY839989					JF976972	
Lysimachia clethroides						JF954445		AF547762															JF942362																	AY839955					JF976899	
Lysimachia congestiflora						JF954452		AF547749															JF942366																	AY839963					JF976903	
Lysimachia fistulosa						JF954468		AF547758															JF942382																	AY839978					JF976917	
Lysimachia pittosporoides						JF954527		AF547769															JF942441																	AY840002					JF976971	
Lysimachia insignis						JF954499		AF547767															JF942413																	AY840001					JF976945	
Lysimachia melampyroides						JF954510		AF547788															JF942424																	AY839992					JF976956	
