Adenocalymma cymbalum																	FJ870010																														DQ222528	DQ222650	
Parmentiera cereifera																	FJ870050																									L49291					FJ887871		
Xylophragma myrianthum																	FJ870065																														DQ222648	DQ222822	
Olea woodiana		AM933202																																					AM931502	AM933058									
Pandorea jasminoides																	AY695866															AF102652															AF102636		
Ligustrum pricei										JF954381																						JF942291														JN045233			
Rhodocolea racemosa																	EF105081																						AY500422								EF105021		
Rhodocolea nobilis																																							AY500423	AY500403							AY500444		
Aloysia triphylla								EU761113																															EU761156				EU761080						
Aloysia wrightii																	HM216594																										AY178653				HM216690		
Forsythia nakaii										EU281172							EU281156																										AF534811						
Forsythia giraldiana										FJ263958							EU281159																										AF534809						
Forsythia ovata										EU281171							EU281155																										AF534812						
Forsythia japonica										EU281173							EU281144																										AF534813						
Lundia cordata																	FJ870041																														DQ222590	DQ222741	
Bignonia callistegioides																																							FJ870020								FJ887854	DQ222708	
Noronhia luteola		AM933229																																					AM931528	AM933085									
Amphilophium elongatum																	FJ870013																														DQ222578	DQ222720	
Amphilophium paniculatum										JQ586978																																					DQ222533	DQ222657	
Amphilophium bauhinioides																	FJ870012																														FJ887849	DQ222734	
Fraxinus pallisae						U82871																																U82870					HQ705263						
Fraxinus formosana																						HQ705400									HM242491															HM367426			
Fraxinus malacophylla																						HQ705467									HM242539															HM367485			
Fraxinus richardii																				HM222871		HQ705537																								HM367536			
Fraxinus rufescens																						HQ705539									HM242594												EU314885						
Fraxinus hopeiensis																				HM222797		HQ705418									HM242508																		
Syringa yunnanensis					AF225293												AF231883					AF361259																					AF361285						
Citharexylum caudatum										HM446671																						HM446776											GQ470548			HM446907			
Osmanthus pubipedicellatus										EU409429							EU659981																										EF362758			FJ527894			
Osmanthus urceolatus										EU409437							EU659985																										EU009481			FJ527904			
Osmanthus hainanensis										GU146051							GU450320																										HM999674			FJ527896			
Amphitecna apiculata																																AF102640							AY500431	AY500411							AY500456		
Amphitecna latifolia										JQ586979							EF175740															JQ590781															EF104997		
Fridericia pubescens																	FJ870034															AF102641															DQ222556	DQ222691	
Tabebuia palustris										JQ587054							EF105101															JQ590858															EF105039		
Chionanthus retusus					AF225219					EU409442							AF231811			GU929896																													
Martinella obovata																	EF175741															L36444															L36402	DQ222762	
Nuxia oppositifolia										JF270873							AJ621118																										AJ616328		JF265527				
Nuxia congesta										JF270871							AF380877																										AJ616326		JF265525				
Glandularia santiaguensis	FJ867494	FJ867509	FJ867473														FJ867529																																
Glandularia canadensis	EF576691	EF583093	EF583146														EF571544																																
Glandularia balansae	FJ867489	FJ867511	FJ867476														FJ867532																																
Glandularia verecunda	EF576690	EF583092	EF583145														EF571543																																
Glandularia delticola	EF576688	EF583090	EF583143														EF571541																																
Glandularia bajacalifornica	EF576695	EF583097	EF583150														EF571548																																
Glandularia pumila	EF576692	EF583094	EF583147														EF571545																																
Glandularia tampensis	EF576689	EF583091	EF583144														EF571542																																
Glandularia teucriifolia	EF576696	EF583098	EF583151														EF571549																																
Charadrophila capensis					AJ609196												AJ608622																										AJ616317				AJ617590		
Godmania aesculifolia										JQ587016							EF105068															JQ590817															EF105010		
Stilbe albiflora					AJ609136												AJ608629																						AJ621127								AF027287		
Jasminum nudiflorum					AF225250					EU281181							AF231841																										AF534817						
Jasminum nervosum										GQ434173							AY836537															GQ436543														GQ435223			
Bowkeria verticillata					AJ609206												AJ621106																										AJ616315				AJ617589		
Stachytarpheta frantzii										JQ589482							HM216671															JQ594426															HM216777		
Phyllarthron articulatum																	EF105079																						AY500417	AY500398							EF105019		
Comoranthus minor					AF225222												AF231814															DQ673313															DQ673287		
Arrabidaea chica										JQ586983																																			JQ590785		DQ222542	DQ222671	
Arrabidaea patellifera										JQ586986																																			JQ590788		DQ222552	DQ222687	
Markhamia platycalyx																	FJ870045																							AY500406			AY702557				AY500448		
Crescentia alata										JQ586998							FJ870025															JQ590800															FJ887857		
Priva lappulacea										JQ589460							HM216664															JQ594406															HM216771		
Olea neriifolia		FM208239								FM208247																													FM208231	FM208223									
Ligustrum henryi										JF830494																						JF830416											JF830375			JN045222			
Ligustrum gracile										JF830546																						JF830468											JF830350			JF830316			
Ligustrum leucanthum										JF830518																						JF830441											AF361295			JF830290			
Ligustrum strongylophyllum										JF830497																						JF830420											JF830402			JF830269			
Ligustrum expansum										JF830508																						JF830431											JF830359			JF830281			
Ligustrum obtusifolium										HM751208							EU281161					AF361271																					AF361294						
Ligustrum delavayanum										JF830525																						JF830448											JF830387			JF830297			
Ligustrum xingrenense										JF830521																						JF830444											JF830337			JF830293			
Ligustrum confusum										JF830506																						JF830429											JF830353			JF830278			
Aloysia gratissima					JN686510												HM216592																										DQ463782				JN686613		
Nestegis lanceolata					AF225265												AF231856		GU929879	GU929891																													
Pyrostegia venusta					JN686525																											JQ933460															DQ222633	DQ222805	
Forsythia europaea										EU281178							EU281160																										AF534814				DQ673264		
Forsythia viridissima										FJ263957							HQ664452																										HQ664454			HQ664453			
Picconia azorica										HM850981																						HM850258													EU854424	EU854416			
Notelaea ovata																			GU929884	GU929892												DQ673306															DQ673280		
Fraxinus sikkimensis																						HQ705551									HM242607												HQ705286			HM367548			
Fraxinus turkestanica																				HM222892		HQ705571																					HQ705302			HM367566			
Fraxinus insularis										HQ427335								GU991707														HQ427187														HQ427029			
Fraxinus purpusii																						HQ705532									HM242587												EU314878			HM367530			
Bouchea prismatica					JN686545					JQ589421																						JQ594367											DQ070726				JN686633		
Syringa patula		JN590978								JN590997							JN591016																										AF277758				JN591037		
Schlegelia parviflora					AJ431057					AJ429345							AJ430932															L36448															L36410		
Schlegelia fuscata					HQ385156					HQ384514																						HQ384880												HQ384718			HQ384828		
Osmanthus gracilinervis																			GQ294654	GQ294665	GQ294705																						HM999675			FJ527902			
Osmanthus suavis										EU409430									GQ294653	GQ294669	GQ294698																						EU009482						
Retzia capensis					AJ609144												AJ608628															Z29669											AJ616329				AF027289		
Tabebuia guayacan										JQ587037							EF105094															JQ590844														GQ982377	EF105033		
Tabebuia rosea										JQ587055							EF105102															JQ590859														GQ982378	EF105040		
Tabebuia ochracea					JN686527					JQ587051							EF105100															JQ590856															EF105038		
Nuxia floribunda										JF270872							AJ621116															AM235156											AJ616327		JF265526				
Glandularia peruviana	FJ867490	FJ867512	FJ867477														FJ867533																										FJ867445						
Glandularia cheitmaniana	FJ867493	FJ867508	FJ867474														FJ867530																										FJ867444						
Glandularia scrobiculata	FJ867492	FJ867513	FJ867475														FJ867531																										FJ867446						
Glandularia mendocina	EF576698	EF583100	EF583153														EF571551																										FJ867422						
Ixianthes retzioides					AJ609222												AJ608636															AM235154											AJ616323				AJ617598		
Hierobotana inflata										HM853867							HM216628												HM853834	HM853900																	HM216729		
Chilopsis linearis					DQ532492												DQ532489																										AY178657		JN796935		FJ887856		
Stilbe ericoides					AJ431062				AJ429532	AJ429350							AJ430937																										AJ616330						
Radermachera frondosa																	FJ870055															AF102654							AY500427	AY500407							AF102638		
Phillyrea media					AF225284										FN689630		AF231875															FJ862064														GU120323			
Thomandersia hensii					FN794112					FN773560							FN794075															AY919279															AY919284		
Thomandersia laurifolia					JN686550					HQ384515							HQ412937															AY919280															AY919285		
Jasminum humile					AF225247					EU281182							AF231838							HQ853397																			AF534818						
Stachytarpheta jamaicensis										JQ589484							HM216672															JQ594434														JN407075	HM216778		
Lippia salsa	EF576716	EF583118	EF583171														EF571569																										FJ867399						
Rhaphithamnus spinosus					JN686547												FJ870056															U32160											DQ070743				L36409		
Incarvillea sinensis																							GQ865592			GU587723	GU587729	GU587741																		JQ858510			
Anastrabe integerrima					AJ609216					FN773529							AJ608633																										AJ616314				AJ619552		
Crescentia portoricensis																	EF105060															AF102643							AY500432	AY500412							AY500457		
Olea javanica		AM933221								AM933424																												AM933472	AM931521	AM933077									
Olea salicifolia		FM208242								FM208250																												FM208214	FM208234	FM208226									
Olea schliebenii		AM933208								AM933411																												AM933461	AM931508	AM933064									
Olea exasperata		AM933207								AM933410																												AM933460	AM931507	AM933063									
Olea chimanimani		AM933206								AM933409																												AM933459	AM931505	AM933062									
Olea rosea		FM208241								FM208249																												FM208216	FM208233	FM208225									
Olea welwitschii		AM933217								AM933420																												AM933470	AM931517	AM933073									
Olea yuennanensis																	HQ117894		GQ294640	GQ294689	GQ294695																									HM999668			
Olea lancea		AM933205								AM933408																												AM933457	AM931506	AY040814									
Olea tsoongii		AM933220								AM933423																												AJ938148	AM931520	AM933076									
Olea borneensis		FM208240								FM208248																												FM208215	FM208232	FM208224									
Ligustrum robustum										JF954386							JF804913															JF942294											JF976851			JN045239			
Ligustrum quihoui						GQ434621				JF830503																						JF830426											JF830358			JF830275			
Ophiocolea floribunda																	EF105075															AF102650							AY500414	AY500395							AF102634		
Noronhia incurvifolia		AM933230								AM933433																												AM933481	AM931529	AM933086									
Noronhia longipedicellata		AM933228								AM933431																												AM933479	AM931527	AM933084									
Noronhia broomeana		AM933223								AM933426																												AM933474	AM931522	AM933079									
Noronhia gracilipes		AM933232								AM933435																												AM933483	AM931531	AM933088									
Noronhia linocerioides		AM933203								AM933406																												AM933455	AM931503	AM933059									
Fraxinus apertisquamifera																				HM222743		HQ705358									HM242453												EU314824			HM367388			
Fraxinus obliqua																				HM222841		HQ705484									HM242552												HQ705255			HM367499			
Fraxinus uhdei																				HM222895		HQ705572									HM242626												EU314895			HM367570			
Fraxinus paxiana																				HM222848		HQ705505									HM242564												HQ705268			HM367510			
Fraxinus micrantha																				HM222837		HQ705480									HM242549												EU314866			HM367496			
Fraxinus gooddingii																				HM222786		HQ705401									HM242492												EU314852			HM367427			
Fraxinus floribunda																				HM222784		HQ705399									HM242490												EU314850			HM367424			
Fraxinus lanuginosa																				HM222801		HQ705426									HM242517												EU314857			HM367447			
Fraxinus texensis																				HM222886		HQ705562									HM242616												EU314891			HM367558			
Fraxinus trifoliolata																				HM222891		HQ705570									HM242622												HQ705301			HM367565			
Fraxinus griffithii																				HM222792		HQ705412									HM242499												HQ705232			HM367434			
Fraxinus raibocarpa					EU284165												EU284160					HQ705533																					EU314884			HM367533			
Fraxinus papillosa																				HM222847		HQ705502									HM242561												EU314871			HM367507			
Fraxinus guilinensis																				HM222793		HQ705413									HM242503												HQ705233			HM367437			
Fraxinus caroliniana																				HM222758		HQ705374									HM242465												EU314831			HM367398			
Dolichandrone spathacea																	FJ870029								AY289668							AY289683										AY289643					FJ887859		
Schrebera alata					AF225288					JF270928							AF231878															DQ673300															DQ673274		
Buddleja asiatica					AJ431058				AJ429697	AJ429346							AF380858															AJ001758															AF027277		
Syringa emodi		JN590975								JN590995							JN591013					AF361256																					AF277762				AF130228		
Syringa pubescens		JN590981								JN591000							JN591019					AF361263																					AF277747				JN591040		
Syringa villosa		JN590985								JN591004							JN591023					AF361257																					AF277760				JN591044		
Syringa wolfii		JN590974								JN590994							JN591012					AF361258																					AF361284				JN591033		
Avicennia rumphiana																																	JX448649	JX448658	JX448668	JX448675	JX448682												
Citharexylum fruticosum										HM446672							HM216610															HM446777											AY928521			HM446908	HM216704		
Osmanthus minor																	GU450316		GQ294660	GQ294681	GQ294715																						HM999673			FJ527888			
Osmanthus attenuatus										EU669876							GU450314		GQ294664	GQ294666																							EF362768			FJ527886			
Verbena stricta										HQ593486	HQ594914				HQ594173																	HQ590319														HQ596881			
Tabebuia chrysotricha																	EF105092																								JX496781		JX497729			JX497420	EF105032		
Burroughsia fastigiata												JX966658		JX966754		JX966800				JX966853																				JX966961									
Chionanthus ramiflorus					AF225218												HQ117892		GQ294643	GQ294687	GQ294692																									HM999670			
Glandularia chiricahensis	EF576693	EF583095	EF583148														EF571546																										FJ867436				HM216724		
Junellia minima	EF576707	EF583109	EF583162													FJ867611	EF571560																										FJ867454						
Junellia caespitosa	FJ867500	FJ867520	FJ867481													FJ867606	FJ867536																										FJ867466						
Junellia selaginoides	FJ867505	FJ867518	FJ867485													FJ867604	FJ867541																										FJ867463						
Junellia ulicina	FJ867497	FJ867519	FJ867480													FJ867607	FJ867535																										FJ867469						
Junellia hookeriana	FJ867495	FJ867510	FJ867471													FJ867590	FJ867527																										FJ867448						
Junellia fasciculata	FJ867491	FJ867514	FJ867472													FJ867597	FJ867528																										FJ867447						
Junellia micrantha	FJ867498	FJ867524	FJ867482													FJ867602	FJ867537																										FJ867462						
Junellia connatibracteata	EF576706	EF583108	EF583161													FJ867613	EF571559																										FJ867453						
Jasminum mesnyi					AF225248												AF231839							HQ853396								DQ673296															DQ673267		
Jasminum fluminense					AF225246					GU135014							AF231837															JQ025057											GQ478093			GU135345			
Baillonia amabilis										HM853880							HM216595												HM853846	HM853912																	HM216691		
Parodianthus ilicifolius										HM853885							HM216653												HM853851														DQ463786				HM216762		
Cybistax antisyphilitica																	EF105061																								JX496767		JX497715			JX497406	EF105003		
Incarvillea delavayi																	AY695883						GQ865590			GU587724	GU587728	GU587740															AY695860						
Incarvillea lutea																	AY695876						GQ865591			GU587725	GU587730	GU587736															AY695853						
Incarvillea arguta																	FJ870036						GQ865594			GU587719	GU587727																AY695848				FJ887864		
Incarvillea younghusbandii																	AY695884						GQ865593			GU587720	GU587731	GU587739															AY695861						
Olea brachiata		AM933222			AF225273					AM933425							AF231864																					AM933473		AM933078									
Ligustrum sinense					AF225256					GU134986							AF231847															HQ644051											AB610495			GU135317			
Bignonia aequinoctialis					JN686520					JQ587007							FJ870018																												JQ590807		DQ222577	DQ222719	
Syringa oblata		JN590976								JN590996							JN591014			JN591052		AF361267																					AF361290				JN591035		
Syringa microphylla		JN590982								JN591001							JN591020			JN591054																			EF622225				AF277754				JN591039		
Syringa pinnatifolia		JN590984								JN591003							JN591022			JN591056		AF297071																					AF297081				JN591043		
Syringa reflexa		JN590990								JN591008							JN591028			JN591058		AF361254																					AF361282				JN591049		
Catalpa speciosa					AJ609197					HE967373							AJ608599																										AY486306		HE963393	HE966550	DQ411407		
Catalpa fargesii					DQ532491												DQ532488								GU351174																		AY486301				DQ411411		
Osmanthus fordii										EU409440							GU450319		GQ294659	GQ294679	GQ294712																						EF362764			FJ527895			
Osmanthus reticulatus										EU409438							GU450322		GQ294663	GQ294684	GQ294711																						EF362765			FJ527899			
Osmanthus marginatus										EU409432							GU450315		GQ294658	GQ294682	GQ294714																						HM999672			FJ527887			
Osmanthus serrulatus										EU409427							EU659988		GQ294645	GQ294670	GQ294699																						EF199709			FJ527892			
Osmanthus didymopetalus										GQ176869							GU450325		GQ294648	GQ294671	GQ294702																						GU395609			FJ527906			
Osmanthus henryi										EU409434							EU659987		GQ294649	GQ294672	GQ294701																						EF362766			FJ527893			
Osmanthus armatus										EU409431							EU659982		GQ294646	GQ294675	GQ294708																						EF362769			FJ527900			
Osmanthus delavayi										EU409436							GU450324		GQ294656	GQ294676	GQ294697																						EF362767			FJ527905			
Osmanthus matsumuranus										EU409435							GU450317		GQ294657	GQ294683	GQ294713																						EF362770			FJ527889			
Osmanthus yunnanensis										EU409439							GU450318		GQ294650	GQ294690	GQ294700																						EF362760			FJ527891			
Osmanthus venosus										EU409433							GU450323		GQ294647	GQ294674	GQ294707																						EF362762			FJ527901			
Spathodea campanulata										HM446746							EF105083															FJ976171							AY500428	AY500408						HM447003	EF105023		
Chionanthus virginicus					AF225220								AM398049				AF231812															DQ673309													DQ006108	DQ006204	DQ673283		
Glandularia parodii	EF576697	EF583099	EF583152				EU547416										EF571550																																
Junellia pappigera	FJ867496	FJ867515	FJ867478													FJ867598	FJ867544																										FJ867449				HM216731		
Campsis grandiflora										GQ434140													GQ865596			GU587722	GU587732					AF190429														GQ435166			
Lippia aristata												JX966673		JX966769		JX966818				JX966871																				JX966979									
Lippia integrifolia										HM853860							HM216643												HM853827	HM853893																	HM216749		
Lippia micromera												JX966683		JX966779		JX966829				JX966882																				JX966990									
Lippia hederifolia												JX966678		JX966774		JX966824				JX966877																				JX966985									
Lippia brasiliensis												JX966674		JX966770		JX966819				JX966872																				JX966980									
Lippia rhodocnemis												JX966687		JX966783		JX966833				JX966886																				JX966994									
Lippia duartei												JX966676		JX966772		JX966821				JX966874																				JX966982									
Lippia velutina												JX966692		JX966788		JX966838				JX966891																				JX966999									
Lippia pusilla												JX966685		JX966781		JX966831				JX966884																				JX966992									
Abeliophyllum distichum					AF225216					EU281166			AM398045				AF231808															DQ673292											AF534803				DQ673262		
Kigelia africana										AF051988							EF105072															JF265490							AY500425	AY500405			AY178638				AF102632		
Olea paniculata		AM933218			AF225276					AM933422							AF231867																					AM933471	AM931518	AM933075									
Ligustrum lindleyi		JN590987								JN591006							JN591025			JN591057		AF361270																					AF361293				JN591046		
Ligustrum compactum		JN590972								JN590992							JN591010					AF361269										JF830486											AF361292				JN591030		
Aloysia lycioides												JX966655		JX966751		JX966797				JX966850																				JX966958									
Aloysia barbata												JX966652		JX966748		JX966794				JX966847																				JX966955									
Aloysia herrerae												JX966654		JX966750		JX966796				JX966849																				JX966957									
Recordia boliviana										HM853888							HM216665												HM853855	HM853919																	HM216772		
Forsythia suspensa					AF225231					EU281175					GQ436086		AF231823															GQ436541											AF534808			FJ527907			
Lantana montevidensis												JX966668		JX966764		JX966813				JX966866																				JX966974									
Lantana fucata												JX966663		JX966759		JX966808				JX966861																				JX966969									
Lantana cujabensis												JX966662		JX966758		JX966807				JX966860																				JX966968									
Lantana microcephala												JX966667		JX966763		JX966812				JX966865																				JX966973									
Lantana viburnoides												JX966671		JX966767		JX966816				JX966869																				JX966977									
Lantana macropoda												JX966665		JX966761		JX966810				JX966863																				JX966971									
Fraxinus cuspidata						U82917														HM222773		HQ705389									HM242480							U82916					EU314839			HM367413			
Fraxinus platypoda						U82877														HM222855		HQ705524									HM242579							U82876					HQ705272			HM367521			
Fraxinus bungeana										HM171516								GU991683		HM222755		HQ705370									HM242463												EU314829			HM367395			
Fraxinus dipetala					AF225237												AF231829			HM222777		HQ705391									HM242482												EU314840			HM367416			
Fraxinus greggii					AF225239												AF231831			HM222789		HQ705408									HM242495												HQ705231			HM367433			
Buddleja davidii					HQ385169				HQ412879	HE967360							AJ608612															AJ001757												HQ384734		HE966518	L36394		
Syringa reticulata		JN590979			AF225291					JN590998							JN591017			JN591053		AF297069																					AF297079				JN591038		
Catalpa bignonioides										HE967370																																AF107579	AY178637	AJ235428	HE963390	HE966547	DQ411416		
Osmanthus cooperi										HQ427336							EU659984		GQ294662	GQ294678	GQ294706											HQ427188											EF362772			FJ527903			
Verbena menthifolia	EF576674	EF583076	EF583129				EU547373										EF571527																										FJ867413						
Verbena lasiostachys	EF576670	EF583072	EF583125				EU547371										EF571523																										FJ867417						
Diostea juncea										HM853875							HM216621												HM853841	HM853907													DQ070740				HM216715		
Tabebuia impetiginosa										JQ587042							EF105097															JQ590849									JX496680		JX497594			JX497204	EF105035		
Glandularia guaranitica	EF576685	EF583087	EF583140				EU547418										EF571538																										FJ867433						
Glandularia aristigera	EF576704	EF583106	EF583159				EU547397										EF571557																										FJ867423						
Euthystachys abbreviata					AJ609185				HQ412875	HQ384526			HQ385069				AJ608626															Z29671												AJ236173			AF147715		
Junellia tridens	FJ867501	FJ867516	FJ867487		JN686512											FJ867605	FJ867543																										DQ070738				JN686618		
Phillyrea angustifolia					AF225282					HE967458			AM398053		FN689632		AF231873															DQ673312														GU120321	DQ673286		
Duranta erecta										GQ434145					GQ436057		HM216623												GQ435653			JF265401											AF477782			GQ435186	HM216717		
Rehdera trinervis										HM853882							HM216667												HM853848	HM853914		JQ594408											DQ070728				HM216774		
Lippia rehmannii												JX966686		JX966782		JX966832	HM216645			JX966885																				JX966993							HM216751		
Acantholippia seriphioides												JX966651		JX966747		JX966793				JX966846																				JX966954			DQ070741						
Ligustrum japonicum										JF830553								FN668858				AF361276										JF830477								AB634833			JF830406			JF830326			
Ligustrum lucidum						GQ434619				JF830558								FN668857														JF830485								AB634834			JF830347			JN045229			
Ligustrum ovalifolium					AF225254					JF830537			AM398054				AF231845					AF361273										JF830462											JF830396			JF830312			
Aloysia macrostachya												JX966656		JX966752		JX966798				JX966851																				JX966959			AY178652						
Picconia excelsa					AF225285												AF231876		GU929881	GU929888												DQ673314													EU854427	GU120324	DQ673288		
Lantana urticoides												JX966664		JX966760		JX966809				JX966862																				JX966970			AY178664						
Fraxinus retusa										HM171504					HM130651			GU991708		HM222870		HQ705536									HM242592												HQ705280			HM367534			
Fraxinus profunda										HM171508					HM130648			GU991705		HM222865		HQ705528									HM242583												HQ705276			HM367529			
Fraxinus holotricha										HM171517					HM130635			GU991691		HM222796		HQ705415									HM242507												HQ705237			HM367438			
Fraxinus berlandieriana										HM171521					HM130623			GU991681		HM222751		HQ705365									HM242458												HQ705210			HM367389			
Osmanthus americanus					AF225277					EU409424							AF231868		GU929880	GU929894												DQ673311											EF362761			HM999667	DQ673285		
Glandularia aurantiaca	EF576701	EF583103	EF583156				EU547417										EF571554																										FJ867426				HM216722		
Glandularia tenera	EF576703	EF583105	EF583158				EU547424										EF571556																										FJ867431				HM216728		
Campsis radicans					JN686519					AF531775							AY695865															GQ436508											DQ515201	AJ236168		GQ435165	AF130144		
Coelocarpum swinglei												JX966659		JX966755		JX966802	HM216619			JX966855																				JX966963							HM216713		
Lippia macrophylla					JN686549							JX966682		JX966778		JX966828				JX966881																				JX966989							JN686637		
Lippia turbinata												JX966691		JX966787		JX966837	HM216647			JX966890																				JX966998							HM216753		
Lippia origanoides								EU761108				JX966684		JX966780		JX966830				JX966883																			EU761125	JX966991									
Lippia rotundifolia												JX966688		JX966784		JX966834	AY945836			JX966887																				JX966995									
Lippia hermannioides												JX966679		JX966775		JX966825	AY945833			JX966878																				JX966986									
Lippia filifolia												JX966677		JX966773		JX966823	AY945830			JX966876																				JX966984									
Lippia diamantinensis												JX966675		JX966771		JX966820	AY945829			JX966873																				JX966981									
Lippia rubella												JX966689		JX966785		JX966835	AY945837			JX966888																				JX966996									
Lippia lupulina												JX966681		JX966777		JX966827	AY945834			JX966880																				JX966988									
Campylostachys cernua					AJ609199				HQ412876	HQ384527			HQ385070				AJ608621															HQ384891											AJ616316				HQ384833		
Tecomaria capensis					JN686529					HM850767							AY695885						GQ865597			GU587721	GU587733					JF265623											AY695862				FJ887874		
Fraxinus angustifolia										AF528041					HM130652			GU991709		HM222734		HQ705351									HM242428	FJ862055											EU314817			HM367376			
Fraxinus anomala					AF225234	U82915											AF231826			HM222739		HQ705353									HM242448							U82914					EU314822			HM367380			
Fraxinus biltmoreana						U82911				HM171519					HM130625			GU991682		HM222752		HQ705367									HM242460							U82910								HM367392			
Fraxinus chiisanensis					EU284162					HM171501					HM130627		EU284157			HM222759		HQ705376									HM242467												EU314833			HM367399			
Fraxinus spaethiana					EU284166					HM171520							EU284161	GU991712		HM222885		HQ705561									HM242615												EU314890			HM367557			
Fraxinus xanthoxyloides					AF225242					HM171526					HM130660			GU991721		HM222913		HQ705590									HM242643												HQ705321			HM367582			
Fraxinus sieboldiana										HM171494					HM130640		EU281162	GU991696		HM222873		HQ705479									HM242598												HQ705284			HM367541			
Fontanesia phillyreoides					AF225226					HQ384545			HQ385093		FN689629		AF231818															HQ384902											AF534816	HQ384753		GU120318			
Citharexylum berlandieri					HQ385151				HQ412856	HQ384507			HQ385048				HM216609															HQ384876												HQ384712			HM216703		
Casselia glaziovii										HM853883				FJ549291			HM216603												HM853849	HM853915																	HM216698		
Glandularia araucana	EF576702	EF583104	EF583157									FJ549084		FJ549262			EF571555																										FJ867430						
Junellia crithmifolia	EF576705	EF583107	EF583160				EU547433									FJ867593	EF571558																										FJ867443				HM216730		
Eccremocarpus scaber					JN686521				HQ412872	HQ384523			HQ385065				FJ870030															AF102646												HQ384728			AF102630		
Phyla lanceolata										HM853861							HM216659												HM853828	HM853894		AF206810										AJ236051		AJ236162			HM216766		
Petrea racemosa					FN794104					FN773552		FJ549112		FJ549290			FN794069															U28879															AY919283		
Petrea kohautiana					HQ385153				HQ412858	HQ384509			HQ385050				HM216654															HQ384877												HQ384714			HQ384824		
Ligustrum sempervirens		JN590991			AF225255					JF830489							JN591029			JN591059		AF361277										JF830410											JF830383			JF830260	JN591050		
Lantana micrantha												JX966666		JX966762		JX966811	HM216636			JX966864																				JX966972			HM120854				HM216742		
Lantana rugosa										JF270847		JX966669		JX966765		JX966814	HM216637			JX966867												JF265500								JX966975							HM216743		
Nashia inaguensis												JX966693		JX966789		JX966839	HM216650			JX966892																				JX967000			DQ070737				HM216759		
